name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Smiles by Dentistry,Austin,,130 Brodie Lane,,,,,,N/A,No website,,osm
Omni Dental Group,Austin,,,,,,,,N/A,No website,,osm
Austin Dental Works,Austin,,,,,,,,N/A,No website,,osm
Castle Dental,Austin,,,,,,,,N/A,No website,,osm
Hammons Family Dental,Austin,,,,,,,,N/A,No website,,osm
Fastbraces,Austin,,,,,,,,N/A,No website,,osm
Lone Star Pediatric Dental,Austin,,,,,,,,N/A,No website,,osm
Matthew Home Dentistry,Austin,,,,,,,,N/A,No website,,osm
High Point Dentistry,Austin,,2719 East 7th Street,,,,,,N/A,No website,,osm
"Austin Dental Center, PC",Austin,TX,2304 Hancock Drive,78756,,,,,N/A,No website,,osm
Brush 32 | Central Austin,Austin,TX,3500 Jefferson Street,78731,,,,,N/A,No website,,osm
Lone Star Pediatric Dental & Braces,Austin,TX,1015 West 34th Street,78705,,,,,N/A,No website,,osm
Midtown Dental Associates,Austin,TX,3000 North Interstate Highway 35 Service Road,78705,,,,,N/A,No website,,osm
Aqua Dental,Austin,TX,811 East 32nd Street,78705,,,,,N/A,No website,,osm
Alpine Dental,Austin,TX,2915 Medical Arts Street,78705,,,,,N/A,No website,,osm
Access Dental of E 7th,Austin,TX,1923 East 7th Street,78702,,,,,N/A,No website,,osm
East Austin Dental,Austin,TX,1000 East 5th Street,78702,,,,,N/A,No website,,osm
Emergency Dentist Austin,Austin,TX,221 West 6th Street,78701,,,,,N/A,No website,,osm
"Dr. Joyce L. Wong, DDS",Austin,TX,2712 Bee Caves Road,78746,,,,,N/A,No website,,osm
Barton Oaks Dental Group,Austin,TX,901 South Mopac Expressway,78746,,,,,N/A,No website,,osm
Enamel Dentistry,Austin,TX,2717 South Lamar Boulevard,78704,,,,,N/A,No website,,osm
ATX Family Dental - South Austin,Austin,TX,3100 South Congress Avenue,78704,,,,,N/A,No website,,osm
Honest Family Dental,Austin,TX,500 East Ben White Boulevard,78704,,,,,N/A,No website,,osm
Brident Dental & Orthodontics,Austin,TX,2400 East Oltorf Street,78741,,,,,N/A,No website,,osm
Smile Center,Austin,TX,512 West Stassney Lane,78745,,,,,N/A,No website,,osm
Vida Dental - South Austin,Austin,TX,1901 West William Cannon Drive,78745,,,,,N/A,No website,,osm
Sweet Tooth Dental,Austin,TX,515 South Congress Avenue,78704,,,,,N/A,No website,,osm
Manzanita Kids Dentistry & Orthodontics,Austin,,,,,,,,N/A,No website,,osm
Taylor Dental EZBraces,Austin,,,,,,,,N/A,No website,,osm
Legend Dental,Austin,,,,,,,,N/A,No website,,osm
Lamar Dental Center,Austin,,,,,,,,N/A,No website,,osm
MyDental,Austin,,,,,,,,N/A,No website,,osm
Swish Dental - South,Austin,TX,3715 South 1st Street,78704,,,,,N/A,No website,,osm
Toothbar,Austin,TX,211 Walter Seaholm Drive,78701,,,,,N/A,No website,,osm
James Dental,Austin,,,,,,,,N/A,No website,,osm
West Creek Dental,Austin,,,,,,,,N/A,No website,,osm
Park Lane Pediatric Dentistry and Orthodontics,Austin,TX,1900 Aldrich Street,78723,,,,,N/A,No website,,osm
Austin Modern Dentistry And Orthodontics,Austin,TX,3601 West William Cannon Drive,78749,,,,,N/A,No website,,osm
Texas Orthodontics,Austin,TX,3421 West William Cannon Drive,78745,,,,,N/A,No website,,osm
Lucent Dentistry,Austin,,,,,,,,N/A,No website,,osm
Serenity Dental,Austin,,,,,,,,N/A,No website,,osm
Burk Family Dentistry,Pflugerville,TX,15307 FM 1825,78660,,,,,N/A,No website,,osm
Access Dental & Orthodontics,Austin,,,,,,,,N/A,No website,,osm
Texas Capital Dental,Austin,,,,,,,,N/A,No website,,osm
Grand Oaks Dentistry,Austin,TX,8700 Menchaca Road,78748,,,,,N/A,No website,,osm
Bell Dental Studio,Austin,TX,2525 Wallingwood Drive,78746,,,,,N/A,No website,,osm
Lane Dental of South Austin,Austin,TX,1901 West William Cannon Drive,78745,,,,,N/A,No website,,osm
Austin Artistic Dental,Austin,TX,9900 South Interstate 35,78748,+1-512-292-9209,,,,N/A,No website,,osm
Enamel Dentistry Saltillo,Austin,TX,901 East 5th Street,78702,,,,,N/A,No website,,osm
Swish Dental,Austin,,,,,,,,N/A,No website,,osm
Wired Orthodontics,Austin,,,,,,,,N/A,No website,,osm
