name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Robson Family Player Facility,Phoenix,AZ,,,,,,,N/A,No website,,osm
Ed and Nadine Carson Student Athlete Center,Phoenix,AZ,,,,,,,N/A,No website,,osm
VASA Fitness,Phoenix,,,,,,,,N/A,No website,,osm
Paseo Racquet Center,Phoenix,,,,,,,,N/A,No website,,osm
EoS Gym,Phoenix,,,,,,,,N/A,No website,,osm
Renaissance Athletic Club,Phoenix,,,,,,,,N/A,No website,,osm
FitKik Station,Phoenix,,,,,,,,N/A,No website,,osm
Fast Athlete USA,Tempe,AZ,8725 South Kyrene Road,85284,+1-480-496-0828,,,,N/A,No website,,osm
KPB Boxing and Training Gym,Phoenix,,,,,,,,N/A,No website,,osm
Air Time,Phoenix,,,,+1-480-200-2000,,,,N/A,No website,,osm
Smart Gym,Phoenix,,,,+1-480-824-9013,,,,N/A,No website,,osm
Jabz Boxing,Phoenix,,,,,,,,N/A,No website,,osm
Vertical Fix Aerial Arts Group,Phoenix,,,,,,,,N/A,No website,,osm
Body In Balance Yoga,Phoenix,,,,,,,,N/A,No website,,osm
Smart Gym,Peoria,AZ,9736 West Northern Avenue,85345,+1-480-493-3408,,,,N/A,No website,,osm
Vivre,Phoenix,,,,,,,,N/A,No website,,osm
Method Athlete,Phoenix,,,,,,,,N/A,No website,,osm
Barre 3,Phoenix,,,,,,,,N/A,No website,,osm
Fencers Club of Arizona,Chandler,AZ,6100 W Gila Springs Pl,85226,,,,,N/A,No website,,osm
Yoga Pura,Phoenix,,,,,,,,N/A,No website,,osm
Youfit,Phoenix,,,,,,,,N/A,No website,,osm
Moksha Yoga,Phoenix,AZ,3121 East Lincoln Drive,85016,,,,,N/A,No website,,osm
Aqua-Tots Swim Schools,Glendale,AZ,18295 North 83rd Avenue,85308,,,,,N/A,No website,,osm
Pure Balance Pilates,Phoenix,,110,85048,,,,,N/A,No website,,osm
Inner Vision Yoga,Phoenix,,,,,,,,N/A,No website,,osm
Joyful Yoga Studio,Tempe,AZ,1721 East Warner Road,85284,,,,,N/A,No website,,osm
Club Pilates,Scottsdale,AZ,16447 North Scottsdale Road,85254,,,,,N/A,No website,,osm
Infinity Fitness AZ,Scottsdale,AZ,7498 East Monte Cristo Avenue,85260,,,,,N/A,No website,,osm
Johnson Fitness & Wellness,Phoenix,,,,,,,,N/A,No website,,osm
"Sunshine's Boxing, Muay Thai, & Fitness",Phoenix,,,,,,,,N/A,No website,,osm
Encanto Sports Complex,Phoenix,,,,,,,,N/A,No website,,osm
AMF McRay Lanes,Chandler,AZ,3825 West Ray Road,85226,,,,,N/A,No website,,osm
Burn Boot Camp,Phoenix,,,,,,,,N/A,No website,,osm
Aqua-Tots Swim Schools,Phoenix,,,,,,,,N/A,No website,,osm
Tempe Family YMCA,Tempe,AZ,7070 South Rural Road,85283,,,,,N/A,No website,,osm
Stretch Lab,Phoenix,,,,,,,,N/A,No website,,osm
The Body Lab Pilates,Phoenix,,,,,,,,N/A,No website,,osm
Camelback CrossFit,Phoenix,,,,,,,,N/A,No website,,osm
Physio Yoga,Phoenix,,,,,,,,N/A,No website,,osm
Independence Gym,Phoenix,,,,,,,,N/A,No website,,osm
Pure Barre,Phoenix,,,,,,,,N/A,No website,,osm
Reformed Pilates,Phoenix,,,,,,,,N/A,No website,,osm
Verde River Gym,Phoenix,,,,,,,,N/A,No website,,osm
Antelope Fitness Center,Phoenix,,,,,,,,N/A,No website,,osm
Papago Fitness Center,Phoenix,,,,,,,,N/A,No website,,osm
KBX PHX Fitness Kickboxing,Tempe,AZ,1819 North Scottsdale Road,85281,,,,,N/A,No website,,osm
Club Pilates,Phoenix,,,,,,,,N/A,No website,,osm
Team 44 Fitness + Nutrition,Phoenix,,,,,,,,N/A,No website,,osm
Optimize,Phoenix,,,,,,,,N/A,No website,,osm
Fit Personal Training,Phoenix,,,,,,,,N/A,No website,,osm
After It Training,Phoenix,,,,,,,,N/A,No website,,osm
Fifty-One Fifty Sports Performance,Phoenix,,,,,,,,N/A,No website,,osm
Lifestyles Fitness Personal Training,Phoenix,,,,,,,,N/A,No website,,osm
How are you ATM?,Phoenix,,,,,,,,N/A,No website,,osm
Free Range CrossFit,Phoenix,,,,,,,,N/A,No website,,osm
The Biltmore Studio,Phoenix,,,,,,,,N/A,No website,,osm
Burn Total Body Conditioning,Phoenix,,,,,,,,N/A,No website,,osm
Gracie Barra,Phoenix,,,,,,,,N/A,No website,,osm
Aptitude Performance Center,Phoenix,,,,,,,,N/A,No website,,osm
Delta Pilates,Phoenix,,,,,,,,N/A,No website,,osm
Liberty Performance Training,Phoenix,,,,,,,,N/A,No website,,osm
Fortified Fitness AZ,Phoenix,,,,,,,,N/A,No website,,osm
Compound Fitness,Phoenix,,,,,,,,N/A,No website,,osm
Source Performance,Phoenix,,,,,,,,N/A,No website,,osm
EliteU Training,Phoenix,,,,,,,,N/A,No website,,osm
1st Place Fitness,Phoenix,,,,,,,,N/A,No website,,osm
Valley Commercial Fitness,Phoenix,,,,,,,,N/A,No website,,osm
TruHIT Fitness,Phoenix,,,,,,,,N/A,No website,,osm
Authentic Yoga,Phoenix,,,,,,,,N/A,No website,,osm
Bella Shanti Yoga & Pilates,Phoenix,,,,,,,,N/A,No website,,osm
Pilates Joe,Phoenix,,,,,,,,N/A,No website,,osm
UltraFit Boot Camps,Phoenix,,,,,,,,N/A,No website,,osm
Personal Power Training,Phoenix,,,,,,,,N/A,No website,,osm
OPEX Fitness,Phoenix,,,,,,,,N/A,No website,,osm
MH Fitness,Phoenix,,,,,,,,N/A,No website,,osm
