name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Build Well,New York,,1184 Bedford Avenue,11216,+1-718-230-7023,,,,N/A,No website,,osm
Marksmen Construction,New York,,230 21st Street,11232,+1-347-276-9722,,,,N/A,No website,,osm
A.A.D. Construction,New York,,,,,,,,N/A,No website,,osm
Ianelli Construction,New York,,9723 3rd Avenue,11209,,,,,N/A,No website,,osm
Empire State Development Contractors,New York,,9714 3rd Avenue,11209,+1-718-745-1044,,,,N/A,No website,,osm
Sohome Work,New York,,338 Broome Street,10002,+1-212-966-1629,,,,N/A,No website,,osm
Cedar Wood Working,New York,,2078 West 9th Street,11223,,,,,N/A,No website,,osm
TPC II Contractors,New York,,140 35th Street,11232,+1-718-369-7580,,,,N/A,No website,,osm
Dahill Demolition & Dismantling,New York,,207 Dahill Road,11218,+1-718-431-8804,,,,N/A,No website,,osm
Long & DeLosa Construction Group,New York,,800 5th Avenue,11232,+1-718-499-8400,,,,N/A,No website,,osm
EA Custom Millwork,New York,,409 Willoughby Avenue,11205,,,,,N/A,No website,,osm
Ivan & Son,New York,,431 20th Street,11215,+1-929-499-5356,,,,N/A,No website,,osm
Carpenters Shop,New York,NY,2977 Frederick Douglass Boulevard,10039,,,,,N/A,No website,,osm
INS Construction,New York,,,,+1-718-484-3838,,,,N/A,No website,,osm
Mc Mahon Construction,New York,,,,+1-718-643-6922,,,,N/A,No website,,osm
DOT Carpenter Shop,New York,,352 Kent Avenue,,,,,,N/A,No website,,osm
Jem Woodwork,New York,,407 Willoughby Avenue,11205,+1-347-385-0026,,,,N/A,No website,,osm
5 Boro's Construction,New York,,,,,,,,N/A,No website,,osm
Gateway Builders Corp.,New York,,,,,,,,N/A,No website,,osm
Atlantic Home Renovation & Ventures LLC.,Brooklyn,NY,723 East 5th Street,11218,+1646-934-1641,,,,N/A,No website,,osm
Alba Wood Works,New York,,,,+1-347-974-2522,,,,N/A,No website,,osm
Sackett Woodworking,New York,,,,+1-718-744-5864,,,,N/A,No website,,osm
Reshel Construction Corp.,New York,,,,+1-718-972-0660,,,,N/A,No website,,osm
BA Global Construction Corp.,New York,,,,+1-718-972-2764,,,,N/A,No website,,osm
Manhattan HD Corp.,New York,,,,,,,,N/A,No website,,osm
"JAMES ROBINSON, INC.",New York,NY,480,10022,2127526166,,,,N/A,No website,,citydata-new york
EMPIRE DIAMOND CORPORATION,New York,NY,350,10118,2125644777,,,,N/A,No website,,citydata-new york
"HECHT SEWING MACHINE & MOTOR CO., INC.",New York,NY,304,10018,2125635950,,,,N/A,No website,,citydata-new york
IDEAL AUTO EXCHANGE CORP.,New York,NY,8825,11435,7186585132,,,,N/A,No website,,citydata-new york
"CHARLES FRANKEL JEWELER, INC.",New York,NY,1927,11229,7186482712,,,,N/A,No website,,citydata-new york
"FRENCH & COMPANY, INC.",New York,NY,17,10065,2125353330,,,,N/A,No website,,citydata-new york
CENTRAL TIME CLOCK INC.,New York,NY,523,11101,7187844900,,,,N/A,No website,,citydata-new york
"NESLE, INC.",New York,NY,3815,11101,2127550515,,,,N/A,No website,,citydata-new york
"SCHWEITZER, PAUL",New York,NY,108,10011,2126750035,,,,N/A,No website,,citydata-new york
"COMMERCIAL HOTEL, INC.",New York,NY,9636,11429,7184686400,,,,N/A,No website,,citydata-new york
"CARMEL GARAGE, INC.",New York,NY,6861,11375,718-544-2322,,,,N/A,No website,,citydata-new york
"ATTARA, PATRICIA & ATTARA, THERESA",New York,NY,165,11201,9177577792,,,,N/A,No website,,citydata-new york
NEW YORK PARKING 51ST STREET CORP.,New York,NY,251,10022,212-308-5959,,,,N/A,No website,,citydata-new york
"ALMAR GARAGE, INC.",New York,NY,700,10021,2127444750,,,,N/A,No website,,citydata-new york
RAINBOW PARKING CORP.,New York,NY,300,10021,212-308-5959,,,,N/A,No website,,citydata-new york
74 HUDSON STREET PARKING CORP.,New York,NY,74,10013,2124760135,,,,N/A,No website,,citydata-new york
"SHAH, JYOTEE HARESH",New York,NY,,10022,7182753049,,,,N/A,No website,,citydata-new york
TOWER EAST GARAGE CORP.,New York,NY,191,10021,2128887400,,,,N/A,No website,,citydata-new york
"MUTUAL PARKING, INC.",New York,NY,61,10028,2128887400,,,,N/A,No website,,citydata-new york
NEW YORK PARKING 56TH ST. CORP,New York,NY,65,10019,2123085959,,,,N/A,No website,,citydata-new york
CAROLE STORAGE CORPORATION,New York,NY,777,10017,212-753-6116,,,,N/A,No website,,citydata-new york
GEMA PARKING CORP.,New York,NY,333,10003,,,,,N/A,No website,,citydata-new york
"KRD REALTY CO., INC.",New York,NY,330,10036,2122658189,,,,N/A,No website,,citydata-new york
