name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Sipz Fusion Cafe,San Diego,,,,,,,,N/A,No website,,osm
Wicked Chicken,San Diego,CA,721 9th Avenue,92101,,,,,N/A,No website,,osm
Barbusa,San Diego,,,,,,,,N/A,No website,,osm
Chiquita's Mexican Food,San Diego,,4110 Home Avenue,92105,+1-619-264-2072,,,,N/A,No website,,osm
Flicks,San Diego,,1017 University Avenue,92103,,,,,N/A,No website,,osm
Pokéz,San Diego,,947 E Street,,+1-619-702-7160,,,,N/A,No website,,osm
Plum Crazy Saloon,San Diego,,,,,,,,N/A,No website,,osm
Redwing Bar and Grill,San Diego,,,,,,,,N/A,No website,,osm
Slip Inn,San Diego,,,,,,,,N/A,No website,,osm
Cozy Corner,San Diego,,,,,,,,N/A,No website,,osm
The Reunion,San Diego,,2205 Mendocino Boulevard,92107,,,,,N/A,No website,,osm
Jts Clubhouse Pub and Grill,San Diego,CA,5821 Mission Gorge Road,92120,,,,,N/A,No website,,osm
Round Table Cocktail Lounge,San Diego,,,,,,,,N/A,No website,,osm
Princess Pub and Grille,San Diego,,,,,,,,N/A,No website,,osm
The Ould Sod,San Diego,,,,,,,,N/A,No website,,osm
Daves Tavern,San Diego,,,,,,,,N/A,No website,,osm
Sro Lounge,San Diego,CA,1807 5th Avenue,92101,,,,,N/A,No website,,osm
Lucys,San Diego,,,,,,,,N/A,No website,,osm
Rosie Ogradys Irish Pub,San Diego,,,,,,,,N/A,No website,,osm
Pacific Shores,San Diego,,,,,,,,N/A,No website,,osm
The Flame Cocktail Lounge,San Diego,,,,,,,,N/A,No website,,osm
3 Day Suit Broker,San Diego,,,,,,,,N/A,No website,,osm
Ettas Place,San Diego,,,,,,,,N/A,No website,,osm
True North,San Diego,,,,,,,,N/A,No website,,osm
San Diego Eagle,San Diego,,,,,,,,N/A,No website,,osm
Cafe Estela,San Diego,,,,,,,,N/A,No website,,osm
Champs Lounge,San Diego,,,,,,,,N/A,No website,,osm
El Salvador Pupuseria,San Diego,,3750 University Avenue,92105,,,,,N/A,No website,,osm
Silver Fox,San Diego,,,,,,,,N/A,No website,,osm
Island Sports and Spirits,Coronado,,100 Orange Avenue,92118,,,,,N/A,No website,,osm
Recognize Cocktails,San Diego,,,,,,,,N/A,No website,,osm
Nunus Bar and Restaurant,San Diego,,506 Ivy Lane,92103,,,,,N/A,No website,,osm
One Door North,San Diego,,,,,,,,N/A,No website,,osm
El Uno Bar,San Diego,,,,,,,,N/A,No website,,osm
Kansas City Barbeque,San Diego,,,,,,,,N/A,No website,,osm
Turf Club,San Diego,,,,,,,,N/A,No website,,osm
Padre Gold,San Diego,,,,,,,,N/A,No website,,osm
Silver Spigot,San Diego,,,,,,,,N/A,No website,,osm
Tinas,San Diego,,,,,,,,N/A,No website,,osm
Hong Kong Nite Club,San Diego,,1023 10th Avenue,92101,,,,,N/A,No website,,osm
Aero Club,San Diego,,,,,,,,N/A,No website,,osm
Blue Agave,San Diego,,,,,,,,N/A,No website,,osm
Richs San Diego,San Diego,,1071 University Avenue,92103,,,,,N/A,No website,,osm
Dannys Palm Bar and Grill,San Diego,,,,,,,,N/A,No website,,osm
The Alibi,San Diego,CA,1403 University Avenue,92103,,,,,N/A,No website,,osm
Six Degrees,San Diego,,,,,,,,N/A,No website,,osm
Caliph Piano Bar and Lounge,San Diego,,3100 5th Avenue,92103,,,,,N/A,No website,,osm
Body Shop,San Diego,,,,,,,,N/A,No website,,osm
Old Town Saloon,San Diego,,,,,,,,N/A,No website,,osm
The Loft,San Diego,,,,,,,,N/A,No website,,osm
Tilted Stick,San Diego,CA,4970 Voltaire Street,92107,,,,,N/A,No website,,osm
Nouvelle Latin Cuisine,San Diego,,,,,,,,N/A,No website,,osm
El Agave Tequileria,San Diego,,,,,,,,N/A,No website,,osm
Carriage House Cocktails,San Diego,CA,4690 Convoy Street,92111,,,,,N/A,No website,,osm
Dobsons Bar and Restaurant,San Diego,,,,,,,,N/A,No website,,osm
Last Call,San Diego,,,,,,,,N/A,No website,,osm
Kava Lounge,San Diego,,,,,,,,N/A,No website,,osm
Peter Ds,San Diego,,,,,,,,N/A,No website,,osm
Oscars Cocktail Bar,San Diego,,,,,,,,N/A,No website,,osm
Gilly's,San Diego,,,,,,,,N/A,No website,,osm
Deja Vu,San Diego,,,,,,,,N/A,No website,,osm
Minx Show Girls,San Diego,,,,,,,,N/A,No website,,osm
Cheers,San Diego,,,,,,,,N/A,No website,,osm
Petes Cocktails,San Diego,,,,,,,,N/A,No website,,osm
Club Montage,San Diego,,2030 Hancock Street,92110,,,,,N/A,No website,,osm
Lancers Cocktail Lounge,San Diego,,,,,,,,N/A,No website,,osm
P B Pub,San Diego,,,,,,,,N/A,No website,,osm
Airport Lounge,San Diego,,,,,,,,N/A,No website,,osm
Rainbow Bar and Grill,San Diego,,,,,,,,N/A,No website,,osm
Trislers Wine Bar,San Diego,,,,,,,,N/A,No website,,osm
Nite Owl West,San Diego,,,,,,,,N/A,No website,,osm
Elbo Rest,San Diego,,,,,,,,N/A,No website,,osm
Star Club,San Diego,,,,,,,,N/A,No website,,osm
Cj Lounge,San Diego,,,,,,,,N/A,No website,,osm
Kellys Pub,San Diego,,,,,,,,N/A,No website,,osm
