name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Modern Dentistry,Aurora,CO,10650 East Garden Drive,80012,,,,,N/A,No website,,osm
Speaks Orthodontics,Denver,CO,3300 West 32nd Avenue,80211,,,,,N/A,No website,,osm
"Heather Stamm, DDS",Denver,CO,1960 Ogden Street,80218,,,,,N/A,No website,,osm
Bottenbley Cecil J DMD,Denver,CO,1776 Lincoln Street,80203,,,,,N/A,No website,,osm
"Dr. Paul L. Legg, DDS",Denver,CO,1560 Broadway,80202,,,,,N/A,No website,,osm
Metro Denver Dental Society & Mountain West Dental Institute,Denver,CO,925 Lincoln Street,80203,,,,,N/A,No website,,osm
Howard Dental Center,Denver,CO,1420 Ogden Street,80218,,,,,N/A,No website,,osm
Auraria Dental Lab,Denver,CO,1214 Santa Fe Drive,80204,,,,,N/A,No website,,osm
Auraria Dental Ceramics,Denver,CO,1201 Santa Fe Drive,80204,,,,,N/A,No website,,osm
Sloan's Lake Dental,Denver,CO,2750 West 29th Avenue,80211,,,,,N/A,No website,,osm
Highland Dental Care,Denver,CO,3838 West 38th Avenue,80211,,,,,N/A,No website,,osm
Sierra Dental,Denver,CO,4279 Tennyson Street,80212,,,,,N/A,No website,,osm
Kid's Dental,Denver,CO,7901 East Colfax Avenue,80220,,,,,N/A,No website,,osm
Tennyson Pediatric Dentistry,Denver,CO,4383 Tennyson Street,80212,,,,,N/A,No website,,osm
AAA Family Dental Center,Denver,CO,3805 Newton Street,80211,,,,,N/A,No website,,osm
Retro Dental Group,Denver,CO,3025 West 38th Avenue,80211,,,,,N/A,No website,,osm
Icon Dental Denver,Denver,CO,1425 Market Street,80202,,,,,N/A,No website,,osm
Concorde Dental Clinic,Aurora,CO,111 Havana Street,,,,,,N/A,No website,,osm
Mountain View Dental,Denver,CO,4590 Lowell Boulevard,80211,,,,,N/A,No website,,osm
Abundant Smiles,Denver,CO,1220 West 38th Avenue,80211,,,,,N/A,No website,,osm
Highlands Dentists,Denver,CO,3380 West 38th Avenue,80211,,,,,N/A,No website,,osm
Biotic Breath,Denver,CO,7400 East Hampden Avenue,80231,,,,,N/A,No website,,osm
South Shore Dental,Denver,CO,1525 Raleigh Street,80204,,,,,N/A,No website,,osm
Denver Youth Dentistry,Denver,CO,1400 Grove Street,80204,,,,,N/A,No website,,osm
Perfect Teeth,Denver,CO,7150 Leetsdale Drive,80224,,,,,N/A,No website,,osm
Comfort Dental,Denver,CO,881 Federal Boulevard,80204,,,,,N/A,No website,,osm
Great Looks Dentist,Denver,CO,496 South Dayton Street,80247,+1-720-859-3432,,,,N/A,No website,,osm
City Center Dental Group,Englewood,,800 Englewood Parkway,,,,,,N/A,No website,,osm
Downtown Denver Dental,Denver,,,,,,,,N/A,No website,,osm
Bright Now! Dental,Denver,CO,1955 Arapahoe Street,80202,,,,,N/A,No website,,osm
Diane Fuller DDS,Denver,CO,7060 East Hampden Avenue,80224,,,,,N/A,No website,,osm
ATA Dental,Denver,CO,501 Lincoln Street,80203,,,,,N/A,No website,,osm
Mollner Dentistry,Denver,CO,975 Lincoln Street,80203,,,,,N/A,No website,,osm
Denver Place Dentistry,Denver,CO,999 18th Street,80202,,,,,N/A,No website,,osm
Espire Dental,Denver,,,,,,,,N/A,No website,,osm
Modern Dentistry of Northfield,Denver,,,,,,,,N/A,No website,,osm
Hilltop Dental Group,Denver,,,,+1-303-377-4445,,,,N/A,No website,,osm
Lowry Modern Dentistry,Denver,CO,63 North Quebec Street,80230,+1-720-446-2314,,,,N/A,No website,,osm
5th Ave Smile,Denver,,,,,,,,N/A,No website,,osm
Denver Family Dental,Denver,,825 East 18th Avenue,,+1-303-839-1356,,,,N/A,No website,,osm
Koman Dental,Denver,CO,2100 South Lincoln Street,80210,,,,,N/A,No website,,osm
Creekview Dental,Denver,CO,400 East Dakota Avenue,80246,,,,,N/A,No website,,osm
Colorado Oral Surgery,Denver,CO,400 South Colorado Boulevard,80246,,,,,N/A,No website,,osm
