name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Amazing Lash Studio,Houston,TX,2621 South Shepherd Drive,,,,,,N/A,No website,,osm
CN Nails,Houston,,,,,,,,N/A,No website,,osm
Bich Nga Hair Design,Houston,TX,2621 Milam Street,77006,,,,,N/A,No website,,osm
Adriana's,Houston,TX,10231 Bauman Road,,,,,,N/A,No website,,osm
Accuston Nails & Facial,Houston,,,,,,,,N/A,No website,,osm
JB Wig,Houston,,,,,,,,N/A,No website,,osm
Jolla Bella,Houston,,,,,,,,N/A,No website,,osm
L.A. Central Nails,Houston,,,,,,,,N/A,No website,,osm
Star Braiding,Houston,,,,,,,,N/A,No website,,osm
U.S. Nails,Houston,,,,,,,,N/A,No website,,osm
Zen Fashion Accessories,Houston,,,,,,,,N/A,No website,,osm
Clipper Barber Shop,Houston,TX,3607 Old Spanish Trail,,,,,,N/A,No website,,osm
Princess Beauty Supply,Houston,,,,,,,,N/A,No website,,osm
Super Weave xpress,Houston,,,,,,,,N/A,No website,,osm
The Nail'ery,Houston,,,,,,,,N/A,No website,,osm
Monterrey Barber Shop #2,Houston,TX,5634 Lawndale Street,,,,,,N/A,No website,,osm
Artistic Nails,Houston,,,,,,,,N/A,No website,,osm
Aura Nail Spa,Houston,TX,1214 West 43rd Street,,,,,,N/A,No website,,osm
Nationwide Nail Supply Inc.,Houston,,,,,,,,N/A,No website,,osm
Brian Matthews Barber & Beauty Salon,Houston,,,,,,,,N/A,No website,,osm
Glossed Glam Factory,Houston,TX,1701 Webster Street,77003,,,,,N/A,No website,,osm
Image Nails,Houston,,,,,,,,N/A,No website,,osm
Sally's Beauty Supplies,Houston,,,,,,,,N/A,No website,,osm
Le Q Nails,Houston,,,,,,,,N/A,No website,,osm
Lily's Elegant Nails & Beauty Salon,Houston,TX,5605 Lawndale Street,,,,,,N/A,No website,,osm
D K Nail,Houston,,,,,,,,N/A,No website,,osm
The Grand Nails of America,Houston,,,,,,,,N/A,No website,,osm
007 Barber Shop,Houston,,5401 Memorial Drive,,,,,,N/A,No website,,osm
Aaina Brow Bar,Houston,,,,,,,,N/A,No website,,osm
T Nails,Houston,,,,,,,,N/A,No website,,osm
Beauty Salon Botique,Houston,,,,,,,,N/A,No website,,osm
Gold Nails,Houston,TX,7418 Airline Drive,,,,,,N/A,No website,,osm
Caly Nails,Houston,,,,,,,,N/A,No website,,osm
Radhika Spa Wellness Center,Houston,,,,,,,,N/A,No website,,osm
Hollywood Nails,Houston,,7410 Fairbanks North Houston Road,,,,,,N/A,No website,,osm
Bath & Body Works,Houston,,,,,,,,N/A,No website,,osm
Phenix Salon Suites,Houston,,,,,,,,N/A,No website,,osm
Regency Beauty Institute,Houston,,,,,,,,N/A,No website,,osm
Salon・Spa・Superstore,Houston,,,,,,,,N/A,No website,,osm
Snappy Nails,Houston,,,,,,,,N/A,No website,,osm
TLF Cut,Houston,,,,,,,,N/A,No website,,osm
Fabulous Nails & Spa,Houston,,,,,,,,N/A,No website,,osm
Nails by Chelsea,Houston,,,,,,,,N/A,No website,,osm
Aisha's Salon & Spa,Houston,,,,,,,,N/A,No website,,osm
Circle of Peace,Houston,TX,4400 Almeda Road,77004,,,,,N/A,No website,,osm
Barber shop,Houston,,,,,,,,N/A,No website,,osm
TGF Hair Salon,Houston,TX,8138 Kirby Drive,77054,,,,,N/A,No website,,osm
Royal Nails & Spa,Houston,TX,8505 Main Street,77025,,,,,N/A,No website,,osm
Snip-its Haircuts for Kids,Houston,TX,14096 Memorial Drive,77079,,,,,N/A,No website,,osm
milk + honey spa,Houston,,,,,,,,N/A,No website,,osm
Isle Pedispa,Houston,,,,,,,,N/A,No website,,osm
C Nails & Spa,Houston,TX,5383 Westheimer Road,,,,,,N/A,No website,,osm
Laser Away,Houston,TX,5385 Westheimer Road,,,,,,N/A,No website,,osm
Therapy Hair Studio,Houston,TX,5371 Westheimer Road,,,,,,N/A,No website,,osm
Tanglewood Nails,Houston,,,,,,,,N/A,No website,,osm
Janelle Alexis Salon,Houston,,,,,,,,N/A,No website,,osm
Hiatus Spa + Retreat,Houston,,5740 San Felipe Street,,,,,,N/A,No website,,osm
Image District Face and Body,Houston,,5885 San Felipe Street,,,,,,N/A,No website,,osm
Luxy Lashes and Skin,Houston,,5885 San Felipe Street,,,,,,N/A,No website,,osm
SH Salon,Houston,,5885 San Felipe Street,,,,,,N/A,No website,,osm
Posh Nails and Spa,Houston,,5885 San Felipe Street,,,,,,N/A,No website,,osm
The Pretty Kitty,Houston,,5885 San Felipe Street,,,,,,N/A,No website,,osm
Blow Dry Bar,Houston,,,,,,,,N/A,No website,,osm
Nailtime,Houston,TX,5535 Memorial Drive,77007,,,,,N/A,No website,,osm
Luke's Barber Shop,Houston,TX,10202A Fulton Street,77076,,,,,N/A,No website,,osm
Ritual Pedi Spa,Houston,TX,3464 Ella Boulevard,,,,,,N/A,No website,,osm
Eva G's Beauty Salon,Houston,TX,7804 Fulton Street,,,,,,N/A,No website,,osm
Lizbeth's Salon,Houston,,,,,,,,N/A,No website,,osm
Hair by KC,Houston,TX,101 Tidwell Road,77076,,,,,N/A,No website,,osm
Evolution Barber Shop,Houston,TX,9634 Fulton Street,77076,,,,,N/A,No website,,osm
L&B Nails,Houston,TX,101 Tidwell Road,77076,,,,,N/A,No website,,osm
Que Bella Hair & Nails,Houston,,,,,,,,N/A,No website,,osm
3d Nails & Lashes,Houston,TX,5406g Airline Drive,,,,,,N/A,No website,,osm
Royal Hair,Houston,TX,5703 Airline Drive,,,,,,N/A,No website,,osm
Globe Nails,Houston,TX,5538 Airline Drive,,,,,,N/A,No website,,osm
