name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
The Canyon Suites,Phoenix,,,,,,,,N/A,No website,,osm
Hotel San Carlos,Phoenix,,,,,,,,N/A,No website,,osm
Hawthorn Suites,Phoenix,,,,,,,,N/A,No website,,osm
EZ Inn Motel,Phoenix,,,,,,,,N/A,No website,,osm
Super 7 Motel,Phoenix,AZ,965 East Van Buren Street,85006,,,,,N/A,No website,,osm
HI Phoenix - The Metcalf House,Phoenix,,,,,,,,N/A,No website,,osm
Budget Suites of America,Phoenix,,,,,,,,N/A,No website,,osm
Lone Star Motel,Phoenix,,,,,,,,N/A,No website,,osm
Deserama Motel,Phoenix,AZ,2836 East Van Buren Street,85008,,,,,N/A,No website,,osm
Arizona Motel,Phoenix,,,,,,,,N/A,No website,,osm
Rodeway Inn,Phoenix,AZ,2501 East Van Buren Street,85008,,,,,N/A,No website,,osm
Knights Inn Phoenix East,Phoenix,,,,,,,,N/A,No website,,osm
Sterling International Hotels,Phoenix,,,,,,,,N/A,No website,,osm
Tempe Mission Palms,Phoenix,,,,,,,,N/A,No website,,osm
Arizona Grand Resort & Spa,Phoenix,,,,,,,,N/A,No website,,osm
SmokeTree Resort & Bungalows,Phoenix,,,,,,,,N/A,No website,,osm
W Scottsdale,Phoenix,,,,,,,,N/A,No website,,osm
Hotel Valley Ho,Phoenix,,,,,,,,N/A,No website,,osm
Travelodge Scottsdale,Scottsdale,AZ,6935 East 5th Avenue,85251,,,,,N/A,No website,,osm
WorldMark Scottsdale,Phoenix,,,,,,,,N/A,No website,,osm
Sav-On Motel,Phoenix,,,,,,,,N/A,No website,,osm
Lamp lighter,Phoenix,,,,,,,,N/A,No website,,osm
Howard Johnson Phoenix North,Phoenix,,,,,,,,N/A,No website,,osm
InTown Suites Extended Stay,Phoenix,AZ,15424 South 50th Street,85048,,,,,N/A,No website,,osm
Extend-a-Suites,Phoenix,AZ,2425 South 24th Street,85034,,,,,N/A,No website,,osm
Everhome Suites,Glendale,AZ,9775 West Northern Avenue,85345,,,,,N/A,No website,,osm
