name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Donna Van Gogh's,Atlanta,,1651 McLendon Avenue Northeast,,,,,,N/A,No website,,osm
Controversy Boutique,Atlanta,,,,,,,,N/A,No website,,osm
Bill Hallman Flaunt,Atlanta,,,,,,,,N/A,No website,,osm
Psycho Sisters Consignment Boutique,Atlanta,,,,,,,,N/A,No website,,osm
Fearless Weirdos,Atlanta,,,,,,,,N/A,No website,,osm
Clothing Warehouse,Atlanta,,,,,,,,N/A,No website,,osm
Rene Rene,Atlanta,,,,,,,,N/A,No website,,osm
Bang On Custom T-shirts and Lettering,Atlanta,GA,1160 Euclid Avenue Northeast,30307,,,,,N/A,No website,,osm
Milo Supply,Atlanta,GA,1152 Euclid Avenue Northeast,30307,,,,,N/A,No website,,osm
Gurl Props,Atlanta,,,,,,,,N/A,No website,,osm
Karma Boutique,Atlanta,,,,,,,,N/A,No website,,osm
Filthy Wealth & Co.,Atlanta,,,,,,,,N/A,No website,,osm
Adore Mi,Atlanta,,493 Flat Shoals Avenue Southeast,30316,,,,,N/A,No website,,osm
i kandie,Atlanta,,493A Flat Shoals Avenue Southeast,30316,,,,,N/A,No website,,osm
House of Bling,Atlanta,,491 Flat Shoals Avenue Southeast,30316,,,,,N/A,No website,,osm
East Atlanta Florist,Atlanta,,,,,,,,N/A,No website,,osm
Rockstar Gold,Atlanta,,495 Flat Shoals Avenue Southeast,30316,,,,,N/A,No website,,osm
Ann Mashburn,Atlanta,GA,1198 Howell Mill Road,,,,,,N/A,No website,,osm
Chico's,Atlanta,,,,,,,,N/A,No website,,osm
Nike,Atlanta,GA,3393 Peachtree Road,30326,,,,,N/A,No website,,osm
Threadz,Atlanta,GA,1060 St Charles Avenue Northeast,30306,,,,,N/A,No website,,osm
New York Fashions,Atlanta,GA,69 Peachtree Street Southwest,30303,+1-404-522-6738,,,,N/A,No website,,osm
J & J Jewelry,Atlanta,GA,76 Peachtree Street Southwest,30303,+1-404-659-0005,,,,N/A,No website,,osm
Excellent Scrubs,Atlanta,,,,,,,,N/A,No website,,osm
Talbots,Atlanta,GA,2391 Peachtree Road,30305,,,,,N/A,No website,,osm
Inman Dry Giods,Atlanta,,Edgewood Avenue Northeast,30307,,,,,N/A,No website,,osm
J.Crew,Atlanta,,,,,,,,N/A,No website,,osm
Gap,Atlanta,,,,,,,,N/A,No website,,osm
H&M,Atlanta,,,,,,,,N/A,No website,,osm
Edible Arrangements,Atlanta,,,,,,,,N/A,No website,,osm
Souveneirs T-Shirts & Gifts,Atlanta,,13 Baker Street Northwest,,,,,,N/A,No website,,osm
Gifting Tree & the Secret Garden Nursery,Atlanta,,1275 Medlin Street,,,,,,N/A,No website,,osm
Kendra Scott,Atlanta,GA,3400 Around Lenox Road NE,30326,+1-404-900-5362,,,,N/A,No website,,osm
Lucky Exchange,Atlanta,,,,,,,,N/A,No website,,osm
The Vibe Box,Atlanta,,,,,,,,N/A,No website,,osm
Botique Hush,Atlanta,,237 Mitchell Street Southwest,,+1 404-896-6195,,,,N/A,No website,,osm
Marshmallow Dream Monogram Studio,Atlanta,,,,,,,,N/A,No website,,osm
Floral Creations,Atlanta,,,,,,,,N/A,No website,,osm
City Gear,Atlanta,,,,,,,,N/A,No website,,osm
Plato's Closet,Atlanta,,,,,,,,N/A,No website,,osm
Moda 404,Atlanta,,,,,,,,N/A,No website,,osm
Anthropologie,Atlanta,,,,,,,,N/A,No website,,osm
Athleta,Atlanta,,,,,,,,N/A,No website,,osm
Hollister,Atlanta,,,,,,,,N/A,No website,,osm
G-Star Raw,Atlanta,,,,,,,,N/A,No website,,osm
Dior,Atlanta,,,,,,,,N/A,No website,,osm
Heavy Market,Atlanta,,,,,,,,N/A,No website,,osm
Veronica Beard,Atlanta,,,,,,,,N/A,No website,,osm
Lululemon,Atlanta,,,,,,,,N/A,No website,,osm
Village Green Flowers & Gifts,Atlanta,,,,,,,,N/A,No website,,osm
Levi's,Atlanta,,,,,,,,N/A,No website,,osm
Hallmark,Atlanta,,,,,,,,N/A,No website,,osm
Old Navy,Atlanta,,,,,,,,N/A,No website,,osm
Gucci,Atlanta,,,,,,,,N/A,No website,,osm
Hermès,Atlanta,GA,3500 Phipps Drive Northeast,30326,+1404-233-1011,,,,N/A,No website,,osm
Hello Atlanta,Atlanta,,250 Park Avenue West,,,,,,N/A,No website,,osm
The Merchant,Atlanta,GA,99 Krog Street Northeast,30307,,,,,N/A,No website,,osm
Patagonia,Atlanta,GA,124 Krog Street Northeast,30307,,,,,N/A,No website,,osm
