name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Hallmark,Austin,,,,,,,,N/A,No website,,osm
Samuels Diamonds,Austin,,,,,,,,N/A,No website,,osm
Nordstrom Rack,Austin,,,,,,,,N/A,No website,,osm
Express,Austin,,,,,,,,N/A,No website,,osm
Papaya,Austin,,,,,,,,N/A,No website,,osm
Al's Formalwear,Austin,,,,,,,,N/A,No website,,osm
Originals,Austin,,,,,,,,N/A,No website,,osm
Edible Arrangements,Austin,,,,,,,,N/A,No website,,osm
Tiffany & Company,Austin,,,,,,,,N/A,No website,,osm
Texas Bloom,Austin,,,,,,,,N/A,No website,,osm
Tan Etc,Austin,,,,,,,,N/A,No website,,osm
alfred angelo bridal,Austin,,,,,,,,N/A,No website,,osm
Avenue,Austin,,,,,,,,N/A,No website,,osm
H&M,Austin,TX,11401 Century Oaks Terrace,78758,,,,,N/A,No website,,osm
Once Upon a Child,Austin,,,,,,,,N/A,No website,,osm
Bridal Consignment,Austin,,,,,,,,N/A,No website,,osm
Furia,Austin,,,,,,,,N/A,No website,,osm
Tabu Lingerie,Austin,,,,,,,,N/A,No website,,osm
Zales Outlet,Austin,,,,,,,,N/A,No website,,osm
Painted Tree Boutique,Austin,TX,5400 Brodie Lane,78745,,,,,N/A,No website,,osm
Facet,Austin,,,,,,,,N/A,No website,,osm
Cycle Gear,Austin,,,,,,,,N/A,No website,,osm
Petticoat Fair,Austin,,7739 Northcross Drive,78757,,,,,N/A,No website,,osm
Cést Chic,Austin,,,,,,,,N/A,No website,,osm
Ann Taylor,Austin,,,,,,,,N/A,No website,,osm
Madewell,Austin,,1315 South Congress Avenue,,,,,,N/A,No website,,osm
Teddies For Bettys,Austin,,221 West 2nd Street,,,,,,N/A,No website,,osm
Luxe Apothetique,Austin,,201 West 2nd Street,,,,,,N/A,No website,,osm
Hemline,Austin,,233 West 2nd Street,,,,,,N/A,No website,,osm
Austin General Store,Austin,TX,213 West 2nd Street,,,,,,N/A,No website,,osm
Langford Market,Austin,,249 West 2nd Street,,,,,,N/A,No website,,osm
Mercury,Austin,,225 West 2nd Street,,,,,,N/A,No website,,osm
Eliza Page,Austin,,229 West 2nd Street,,,,,,N/A,No website,,osm
Francesca's,Austin,,241 West 2nd Street,,,,,,N/A,No website,,osm
"Love, Tito's",Austin,TX,215 Lavaca Street,78701,,,,,N/A,No website,,osm
Sikara & Co.,Austin,,417 West 2nd Street,,,,,,N/A,No website,,osm
Bonobos,Austin,,436 West 2nd Street,,,,,,N/A,No website,,osm
Loft,Austin,,430 West 2nd Street,,,,,,N/A,No website,,osm
Austin Rocks,Austin,,,,,,,,N/A,No website,,osm
Gameday Cloth,Austin,,417 1/2 West 2nd Street,,,,,,N/A,No website,,osm
Hoiden,Austin,TX,2055 South Lamar Blvd.,78704,+1-512-271-1426,,,,N/A,No website,,osm
Turquoise Trading Post,Austin,TX,6103 Burnet Road,78757,,,,,N/A,No website,,osm
Urban Outfitters,Austin,TX,320 West 2nd Street,78701,,,,,N/A,No website,,osm
Kruger's Jewlers,Austin,TX,722 Congress Avenue,78701,,,,,N/A,No website,,osm
Forever 21,Austin,TX,3409 Esperanza Crossing,78758,,,,,N/A,No website,,osm
Planet K Gifts,Austin,,9407 North Interstate Highway 35 Service Road,78753,,,,,N/A,No website,,osm
CoStar,Austin,,,,,,,,N/A,No website,,osm
"Monkey See, Monkey Do",Austin,,,,,,,,N/A,No website,,osm
Everything But Water,Austin,,,,,,,,N/A,No website,,osm
Scout & Molly,Austin,,,,,,,,N/A,No website,,osm
Marine Layer,Austin,,,,,,,,N/A,No website,,osm
Weather Coalition,Austin,,,,,,,,N/A,No website,,osm
Kittsona,Austin,,,,,,,,N/A,No website,,osm
Saint Bernard,Austin,,,,,,,,N/A,No website,,osm
Blue Nile,Austin,,,,,,,,N/A,No website,,osm
Suitsupply,Austin,TX,11701 Domain Boulevard,78758,,,,,N/A,No website,,osm
Planet Blue,Austin,,,,,,,,N/A,No website,,osm
Kelly Wynne,Austin,,,,,,,,N/A,No website,,osm
Swarovski,Austin,,,,,,,,N/A,No website,,osm
Golden Bones,Austin,,,,,,,,N/A,No website,,osm
Vuori,Austin,TX,11701 Domain Boulevard,78758,,,,,N/A,No website,,osm
Raven + Lily,Austin,,,,,,,,N/A,No website,,osm
Pandora,Austin,TX,11401 Century Oaks Terrace,78758,,,,,N/A,No website,,osm
Vineyard Vines,Austin,TX,11501 Century Oaks Terrace,78758,,,,,N/A,No website,,osm
Kendra Scott,Austin,TX,11506 Century Oaks Terrace,78758,,,,,N/A,No website,,osm
Balenciaga,Austin,TX,11501 Century Oaks Terrace,78758,,,,,N/A,No website,,osm
FP Movement,Austin,,,,,,,,N/A,No website,,osm
Anthropologie,Austin,TX,11410 Century Oaks Terrace,78758,,,,,N/A,No website,,osm
Pronovias,Austin,TX,,78758,,,,,N/A,No website,,osm
Golden Goose,Austin,,,,,,,,N/A,No website,,osm
ZIMMERMANN Austin,Austin,TX,11501 Century Oaks Terrace,78758,,,,,N/A,No website,,osm
Victoria's Secret,Austin,TX,11410 Century Oaks Terrace,78758,,,,,N/A,No website,,osm
Ben Bridge,Austin,,,,,,,,N/A,No website,,osm
Levi's,Austin,TX,11401 Century Oaks Terrace,78758,,,,,N/A,No website,,osm
alo,Austin,TX,11410 Century Oaks Terrace,78758,,,,,N/A,No website,,osm
