name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Helen K. Copley Youth Center,San Diego,,,,,,,,N/A,No website,,osm
Nemesis Weightlifting,San Diego,,4250 Pepsi Drive,92111,,,,,N/A,No website,,osm
Reach Yoga,San Diego,,1321 Garnet Avenue,92109,,,,,N/A,No website,,osm
Linda Vista Recreation Center,San Diego,,,,,,,,N/A,No website,,osm
Karate Training,San Diego,,,,,,,,N/A,No website,,osm
Curves,San Diego,,,,,,,,N/A,No website,,osm
Golfsmith,San Diego,,,,,,,,N/A,No website,,osm
Core Power Yoga,San Diego,,,,,,,,N/A,No website,,osm
Mission Fitness Center,San Diego,,,,,,,,N/A,No website,,osm
Helios Evolved Pilates,San Diego,,,,,,,,N/A,No website,,osm
Peninsula YMCA,San Diego,,,,,,,,N/A,No website,,osm
Bars-Up,San Diego,,,,,,,,N/A,No website,,osm
Sage's Gym,San Diego,,,,,,,,N/A,No website,,osm
Fortius Weightlifting,San Diego,,,,,,,,N/A,No website,,osm
The Private Gym,San Diego,,,,,,,,N/A,No website,,osm
Steel MMA and Fitness,San Diego,,,,,,,,N/A,No website,,osm
Marquis Pilates+Yoga,San Diego,,,,,,,,N/A,No website,,osm
Renegade Fitcamp,San Diego,,,,,,,,N/A,No website,,osm
Opaka Method Studio,San Diego,,,,,,,,N/A,No website,,osm
Admiral Prout Gym Complex,San Diego,,,,+1 619-520-3048,,,,N/A,No website,,osm
Olde Gym,San Diego,,,,+1-619-556-7450,,,,N/A,No website,,osm
Admiral Baker Swimming Pool,San Diego,CA,2400 Admiral Baker Rd,92124,,,,,N/A,No website,,osm
CrossFit Humanity,San Diego,,,,,,,,N/A,No website,,osm
Main Gym,San Diego,,,,,,,,N/A,No website,,osm
Chuze Fitness,San Diego,CA,1233 Camino del Rio South,92108,,,,,N/A,No website,,osm
Brave Yoga,San Diego,CA,5250 Murphy Canyon Road,92123,,,,,N/A,No website,,osm
NXPT Fitness,San Diego,CA,5150 Murphy Canyon Road,92123,+1-619-701-1567,,,,N/A,No website,,osm
South Park Yoga and Wellness,San Diego,,,,,,,,N/A,No website,,osm
StretchLab,San Diego,CA,880 West Ash Street,92101,+1-619-393-2193,,,,N/A,No website,,osm
F45 Training Little Italy,San Diego,,,,+1-619-535-5054,,,,N/A,No website,,osm
The Little Yoga Studio,San Diego,,,,,,,,N/A,No website,,osm
F45 Training,San Diego,CA,1255 University Avenue,92103,,,,,N/A,No website,,osm
Hillcrest Athletic Club,San Diego,CA,1243 University Avenue,92103,,,,,N/A,No website,,osm
9Round,San Diego,,,,,,,,N/A,No website,,osm
Xplicit Fitness,San Diego,CA,,,,,,,N/A,No website,,osm
Spirit Yoga,San Diego,,,,,,,,N/A,No website,,osm
Spirit Barre,San Diego,,,,,,,,N/A,No website,,osm
Culture Training Club,San Diego,,,,,,,,N/A,No website,,osm
Glute Lab,San Diego,,,,,,,,N/A,No website,,osm
Pier To Point Yoga And Wellness Center,San Diego,,,,,,,,N/A,No website,,osm
Elevate Training,San Diego,,,,,,,,N/A,No website,,osm
Wicked Fit,San Diego,,,,,,,,N/A,No website,,osm
Mission Valley YMCA,San Diego,,Friars Road,,,,,,N/A,No website,,osm
iFLY,San Diego,,,,,,,,N/A,No website,,osm
The Movement Warehouse,San Diego,,1425 Garnet Avenue,,,,,,N/A,No website,,osm
Being Fit,San Diego,,4971 Clairemont Drive,92117,,,,,N/A,No website,,osm
Yoga Arts,San Diego,,,,,,,,N/A,No website,,osm
Just Fit,San Diego,,,,,,,,N/A,No website,,osm
Point Pilates,San Diego,,,,,,,,N/A,No website,,osm
Mind Body Love,San Diego,,2365 30th Street,,,,,,N/A,No website,,osm
corepower yoga,San Diego,,,,,,,,N/A,No website,,osm
