name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Magnolia Smile Design,Seattle,,,,,,,,N/A,No website,,osm
3107 Dentistry,Seattle,,,,,,,,N/A,No website,,osm
Nelson Orthodontics,Seattle,,3203 West McGraw Street,98199,,,,,N/A,No website,,osm
Magnolia Dental Arts,Seattle,,,,+1-206-283-7844,,,,N/A,No website,,osm
"Dr. Sunny Kim, DDS",Seattle,,3333 Wallingford Avenue North,,+1-206-634-2022,,,,N/A,No website,,osm
Brooklyn Ave Dental,Seattle,,1305 Northeast 43rd Street,98105,+1-206-633-0268,,,,N/A,No website,,osm
Avenue Orthodontics,Seattle,WA,1531 Queen Anne Avenue North,98109,,,,,N/A,No website,,osm
Greenlake Family Dentistry,Seattle,,4230 Stone Way North,98103,,,,,N/A,No website,,osm
Greenwood Smile Dental,Seattle,,,,,,,,N/A,No website,,osm
Wallingford Smiles,Seattle,,2507 North 45th Street,98103,,,,,N/A,No website,,osm
Dentologie,Seattle,WA,1836 Northwest Market Street,98107,,,,,N/A,No website,,osm
Queen Anne Dentistry,Seattle,,1911 Queen Anne Avenue North,98109,,,,,N/A,No website,,osm
Zen Dental Center,Seattle,,310 Harvard Avenue East,98102,+1-206-324-1100,,,,N/A,No website,,osm
Gentle Dental,Seattle,,535 Broadway East,98102,,,,,N/A,No website,,osm
8to8 Dental,Seattle,WA,220 Broadway East,98102,+1-206-686-3828,,,,N/A,No website,,osm
Queen Anne Hilltop Dental,Seattle,,605 West McGraw Street,98119,,,,,N/A,No website,,osm
Queen Anne Dental Group,Seattle,,400 Boston Street,98109,,,,,N/A,No website,,osm
Dentologic,Seattle,,1900 Queen Anne Avenue North,98109,,,,,N/A,No website,,osm
Atrium Dental Studio,Seattle,,901 19th Avenue East,98112,,,,,N/A,No website,,osm
Aesthetic & Family Dentistry,Seattle,WA,4400 California Avenue Southwest,98116,,,,,N/A,No website,,osm
Keystone Dental,Seattle,,2210 North 56th Street,98103,,,,,N/A,No website,,osm
Greenwood Family Dental Clinic,Seattle,,8511 Greenwood Avenue North,98103,,,,,N/A,No website,,osm
Hasegawa Dentistry,Seattle,,4743 Rainier Avenue South,98118,,,,,N/A,No website,,osm
Trailside Dentistry,Seattle,,,,,,,,N/A,No website,,osm
Seattle Smile Works,Seattle,,822 Northeast Northgate Way,98125,,,,,N/A,No website,,osm
North Public Health Dental Clinic,Seattle,,12359 Lake City Way Northeast,98125,,,,,N/A,No website,,osm
Seattle Dental Arts,Seattle,,6206 Phinney Avenue North,98103,,,,,N/A,No website,,osm
Dento-Facial Fx Inc.,Seattle,,6514 Phinney Avenue North,98103,,,,,N/A,No website,,osm
Espresso Dental,Seattle,,6725 Greenwood Avenue North,98103,+1 206-284-2483,,,,N/A,No website,,osm
Linda Fukuda DDS,Seattle,,8119 Greenwood Avenue North,98103,+1-206-784-4800,,,,N/A,No website,,osm
Ballard Modern Dentistry,Seattle,WA,1416 Northwest 46th Street,98107,,,,,N/A,No website,,osm
Dentists of Queen Anne,Seattle,WA,620 1st Avenue North,98109,,,,,N/A,No website,,osm
Wedgwood Dental Center,Seattle,,,,,,,,N/A,No website,,osm
Westwood Pacific Dentistry,Seattle,WA,1725 Southwest Roxbury Street,98106,,,,,N/A,No website,,osm
First Impressions Dental,Seattle,WA,9835 16th Avenue Southwest,98106,,,,,N/A,No website,,osm
Family Dentist,Seattle,WA,9670 14th Avenue Southwest,,+1-206-762-7222,,,,N/A,No website,,osm
4th and Seneca Dental,Seattle,,,,,,,,N/A,No website,,osm
West Edge Dental,Seattle,,,,,,,,N/A,No website,,osm
Reflections Dental Centre,Seattle,,,,,,,,N/A,No website,,osm
Lakeview Kids' Dentistry,Seattle,WA,703 34th Avenue,,+1-206-251-7638,,,,N/A,No website,,osm
Seattle’s Downtown Dentist,Seattle,WA,428 Westlake Avenue North,98109,,,,,N/A,No website,,osm
Family Dentistry,Seattle,,,,,,,,N/A,No website,,osm
Seattle Dental Associates,Seattle,,,,,,,,N/A,No website,,osm
Leone Vaughn Davis Orthodonics,Seattle,,,,,,,,N/A,No website,,osm
Best Dentistry,Seattle,,9776 Holman Road Northwest,98117,+1-206-783-3000,,,,N/A,No website,,osm
"Kenny To, DDS",Seattle,WA,221 North 56th Street,98103,,,,,N/A,No website,,osm
Kois Dental,Seattle,,,,,,,,N/A,No website,,osm
A Dental & Denture,Seattle,,11540 15th Avenue Northeast,98125,,,,,N/A,No website,,osm
Sweet Tooth Family Dentist,Seattle,,,,+1-206-323-1436,,,,N/A,No website,,osm
King Plaza Dental & Dentures,Seattle,,,,,,,,N/A,No website,,osm
NW Pediatric Dentistry,Seattle,,,,,,,,N/A,No website,,osm
Central Area Dental Clinic,Seattle,,,,,,,,N/A,No website,,osm
Downtown Dentistry,Seattle,,,,,,,,N/A,No website,,osm
Dental Care at Carkeek Park,Seattle,,,,,,,,N/A,No website,,osm
Pure Dental Arts,Seattle,WA,1503 Queen Anne Avenue North,98109,,,,,N/A,No website,,osm
"Randy Weisz, DDS",Seattle,,,,,,,,N/A,No website,,osm
Sixth Avenue Dentistry - Nigel W. Saw,Seattle,,,,,,,,N/A,No website,,osm
Ballard Dental Care,Seattle,,,,+1-206-783-7700,,,,N/A,No website,,osm
Rainier Valley Orthodontist,Seattle,,,,,,,,N/A,No website,,osm
Seattle Dental Co,Seattle,WA,100 West Harrison Street,98119,,,,,N/A,No website,,osm
Sunrise Dental,Seattle,,1453 Northwest 54th Street,98107,+1-206-535-7464,,,,N/A,No website,,osm
Fremont Smiles,Seattle,,4464 Fremont Avenue North,,,,,,N/A,No website,,osm
Country Doctor Dental Clinic,Seattle,,510 19th Avenue East,98112,+1-206-299-1611,,,,N/A,No website,,osm
Kae Dental,Seattle,,,,,,,,N/A,No website,,osm
South Lake Union Dentist Office,Seattle,WA,527 Boren Avenue North,98109,,,,,N/A,No website,,osm
The Downtown Seattle Dentist,Seattle,,,,+1-206-364-0231,,,,N/A,No website,,osm
Washington Dental Clinic,Seattle,,,,,,,,N/A,No website,,osm
Sun Dental Co.,Seattle,WA,8006 15th Avenue Northwest,98117,,,,,N/A,No website,,osm
Jawnt Oral Surgery,Shoreline,,15823 Westminster Way North,98133,,,,,N/A,No website,,osm
Floss & Gloss Kids Dentistry,Shoreline,,15819 Westminster Way North,98133,,,,,N/A,No website,,osm
Woodland Park Dental,Seattle,,4814 Interlake Avenue North,,,,,,N/A,No website,,osm
U Village Endodontics,Seattle,,3216 Northeast 45th Place,,,,,,N/A,No website,,osm
Union Bay Dental Care,Seattle,,3216 Northeast 45th Place,,,,,,N/A,No website,,osm
Seattle Dentists,Seattle,,3216 Northeast 45th Place,,,,,,N/A,No website,,osm
Wagner Dental,Seattle,,4530 Union Bay Place Northeast,,,,,,N/A,No website,,osm
