name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Beauty Brands,Phoenix,,,,,,,,N/A,No website,,osm
Mood Swings Salon & Spa,Phoenix,,,,,,,,N/A,No website,,osm
Steve's Barber Shop,Phoenix,AZ,12020 North 32nd Street,85028,,,,,N/A,No website,,osm
Kids & Family Barber Shop,Glendale,AZ,6020 West Bethany Home Road,85303,,,,,N/A,No website,,osm
Youngblood Haircutters,Phoenix,,,,,,,,N/A,No website,,osm
Tony's Barber Shop,Phoenix,,,,,,,,N/A,No website,,osm
Perry Monge Salon Spa,Phoenix,,,,,,,,N/A,No website,,osm
Hand & Stone Massage and Facials Spa,Phoenix,,,,,,,,N/A,No website,,osm
Electric Haven,Phoenix,,,,,,,,N/A,No website,,osm
Sally's,Glendale,AZ,6022 West Bethany Home Road,85303,,,,,N/A,No website,,osm
True Cut,Phoenix,AZ,3111 East Cactus Road,85028,,,,,N/A,No website,,osm
Belle Nails,Glendale,AZ,8345 West Glendale Avenue,85305,,,,,N/A,No website,,osm
Perfect Nails And Spa,Glendale,AZ,5707 West Northern Avenue,85301,+1-623-915-6989,,,,N/A,No website,,osm
Shiny Nails,Phoenix,AZ,8919 North 19th Avenue,85021,+1-602-331-0935,,,,N/A,No website,,osm
V's Barbershop Cityscape,Phoenix,AZ,1 East Washington Street,,,,,,N/A,No website,,osm
Scottsdale Barber Shop,Scottsdale,AZ,7058 East Indian School Road,86336,,,,,N/A,No website,,osm
Angel Touch Nails,Glendale,AZ,7025 North 75th Avenue,85303,,,,,N/A,No website,,osm
My Kim Nails,Glendale,AZ,6601 West Bethany Home Road,85301,,,,,N/A,No website,,osm
Sephora,Glendale,AZ,6800 North 95th Avenue,85305,,,,,N/A,No website,,osm
Bath & Body Works,Glendale,AZ,6800 North 95th Avenue,85305,,,,,N/A,No website,,osm
Fragrance Outlet,Glendale,AZ,6800 North 95th Avenue,85305,+1-623-772-5674,,,,N/A,No website,,osm
Nails By Andy,Glendale,AZ,10630 North 59th Avenue,85304,,,,,N/A,No website,,osm
Triny Beauty Spa,Peoria,AZ,6750 West Peoria Avenue,85345,,,,,N/A,No website,,osm
AZ Tangible Tanning,Peoria,AZ,6750 West Peoria Avenue,85345,+1-623-773-0208,,,,N/A,No website,,osm
JJ NailS,Peoria,AZ,6811 West Peoria Avenue,85345,+1-623-979-5136,,,,N/A,No website,,osm
Celebrity Tanning,Peoria,AZ,6811 North 67th Avenue,85345,,,,,N/A,No website,,osm
Model Nails,Peoria,AZ,6750 North 67th Avenue;West Peoria Avenue,85345,,,,,N/A,No website,,osm
Bien Nails,Glendale,AZ,6012 West Bethany Home Road,85303,,,,,N/A,No website,,osm
Latino America Barber Salon,Glendale,AZ,6530 West Glendale Avenue,85301,,,,,N/A,No website,,osm
Hollywood Beauty,Peoria,AZ,9440 West Northern Avenue,85305,,,,,N/A,No website,,osm
Julie's Nails & Spa,Peoria,AZ,9230 West Northern Avenue,85305,,,,,N/A,No website,,osm
