name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Massage Envy,Phoenix,,,,,,,,N/A,No website,,osm
Authentic Thai Massage,Phoenix,,,,,,,,N/A,No website,,osm
Detox Body Cleanse,Phoenix,,,,,,,,N/A,No website,,osm
Asian Spa,Chandler,AZ,5865 West Ray Road,85226,+1-480-705-0995,,,,N/A,No website,,osm
XpresSpa,Phoenix,,,,,,,,N/A,No website,,osm
Deluxe Massage Therapies,Chandler,AZ,3875 West Ray Road,85226,+1-480-821-0994,,,,N/A,No website,,osm
Well & Being Spa,Phoenix,,,,,,,,N/A,No website,,osm
Ideal Image,Scottsdale,AZ,16447 North Scottsdale Road,85254,,,,,N/A,No website,,osm
Elements Massage,Scottsdale,AZ,16255 North Scottsdale Road,85254,,,,,N/A,No website,,osm
Thai Royal Massage Spa,Chandler,AZ,3454 West Chandler Boulevard,85226,,,,,N/A,No website,,osm
Massage W,Tempe,AZ,1730 East Elliot Road,85284,,,,,N/A,No website,,osm
Lucky Spa,Chandler,AZ,6145 West Chandler Boulevard,85226,+1-480-618-8888,,,,N/A,No website,,osm
Advanced Massage,Phoenix,,,,,,,,N/A,No website,,osm
TianMei Massage,Chandler,AZ,4080 West Ray Road,85226,+1-480-839-0893,,,,N/A,No website,,osm
Arizona Chiropractic Group,Phoenix,,,,,,,,N/A,No website,,osm
Elements Massage,Peoria,AZ,7857 West Bell Road,85382,,,,,N/A,No website,,osm
Healing Touch Chiropractic,Peoria,AZ,7789 West Bell Road,85382,,,,,N/A,No website,,osm
Flamingo Massage,Phoenix,,,,,,,,N/A,No website,,osm
Foot Spa,Phoenix,,,,,,,,N/A,No website,,osm
Your Health Station,Tempe,AZ,1700 East Elliot Road,85284,+1-480-897-9495,,,,N/A,No website,,osm
First Class  Reflexology,Phoenix,,,,,,,,N/A,No website,,osm
Stewart Chiropractic,Phoenix,,,,,,,,N/A,No website,,osm
Healthy Chinese Herbs,Phoenix,,,,,,,,N/A,No website,,osm
LV Day Spa,Phoenix,,,,,,,,N/A,No website,,osm
Hansen Chiropractic,Phoenix,,,,,,,,N/A,No website,,osm
MM Aesthetics,Phoenix,,,,,,,,N/A,No website,,osm
Reed Chiropractic,Phoenix,,,,,,,,N/A,No website,,osm
Assouvie Day Spa,Phoenix,,,,,,,,N/A,No website,,osm
Beautiful You Med Spa,Phoenix,,,,,,,,N/A,No website,,osm
Elements Massage,Tempe,AZ,5116 South Rural Road,85282,,,,,N/A,No website,,osm
Hidden Rhythm Acupuncture,Phoenix,,,,,,,,N/A,No website,,osm
Harmonic Healing Center,Phoenix,,,,,,,,N/A,No website,,osm
BodyWise Chiropractic,Phoenix,,,,,,,,N/A,No website,,osm
SCP Chiropractic,Phoenix,,,,,,,,N/A,No website,,osm
Chiropure Spine & Injury,Phoenix,,,,,,,,N/A,No website,,osm
Su Massage,Phoenix,,,,,,,,N/A,No website,,osm
The Joint Chiropractic,Avondale,AZ,9925 West McDowell Road;West Mcdowell Road,85392,,,,,N/A,No website,,osm
Lymphatic Healing Center,Phoenix,,,,,,,,N/A,No website,,osm
Mom's Chiropractic,Phoenix,,,,,,,,N/A,No website,,osm
LiveColder,Phoenix,,,,,,,,N/A,No website,,osm
La Aloha Spa,Phoenix,,,,,,,,N/A,No website,,osm
Coyote Bodywork,Phoenix,,,,,,,,N/A,No website,,osm
Body Couture,Phoenix,,,,,,,,N/A,No website,,osm
ManCave MedSpa,Phoenix,,,,,,,,N/A,No website,,osm
Uptown Medispa Scottsdale,Phoenix,,,,,,,,N/A,No website,,osm
Essence of Massage,Phoenix,,,,,,,,N/A,No website,,osm
Chiropractic Rehabilitation Center,Phoenix,,,,,,,,N/A,No website,,osm
Valley Chiropractic & Wellness Center,Phoenix,,,,,,,,N/A,No website,,osm
Good Karma Massage,Glendale,AZ,17505 North 79th Avenue,85308,,,,,N/A,No website,,osm
Vida Bella Med Spa & Weight Loss Center,Glendale,AZ,17235 North 75th Avenue,85308,,,,,N/A,No website,,osm
Living Pure Chiropractic & Acupuncture,Glendale,AZ,17235 North 75th Avenue,85308,,,,,N/A,No website,,osm
Abloom Med Spa,Phoenix,,,,,,,,N/A,No website,,osm
Hands 2 Health Chiropractic,Phoenix,,,,,,,,N/A,No website,,osm
Desert Therapeutic Massage,Phoenix,,,,,,,,N/A,No website,,osm
