name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Mahina Massage Studio,Somerville,MA,249 Elm Street,02144,,,,,N/A,No website,,osm
Core De Vie,Boston,MA,40 Charles Street,02114,,,,,N/A,No website,,osm
Smile Thai,Somerville,,55 Union Square,02143,,,,,N/A,No website,,osm
La Moon Thai Spa,Boston,,,,,,,,N/A,No website,,osm
acupuncture wellness,Cambridge,MA,1798 Massachusetts Avenue,02140,,,,,N/A,No website,,osm
Aquabella MedSpa,Boston,,,,,,,,N/A,No website,,osm
Davis Foot Spa,Somerville,MA,258 Elm Street,02144,+1-617-625-3366,,,,N/A,No website,,osm
Open Space Community Acupuncture,Boston,,,,,,,,N/A,No website,,osm
Venus Spa,Boston,,,,,,,,N/A,No website,,osm
Down Under,Boston,,,,,,,,N/A,No website,,osm
BodyOne Massage,Boston,,,,,,,,N/A,No website,,osm
Sun Garden Healing Center,Cambridge,MA,740 Cambridge Street,02141,,,,,N/A,No website,,osm
Sky Bodyworks,Boston,,,,,,,,N/A,No website,,osm
Cmmonwealth Alternative Care,Boston,,,,,,,,N/A,No website,,osm
Lavender Wellness & Massage,Boston,,,,,,,,N/A,No website,,osm
