name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Scottsdale Cat Clinic,Phoenix,,,,,,,,N/A,No website,,osm
Banfield Pet Hospital,Phoenix,,,,,,,,N/A,No website,,osm
West Olive Animal Hospital,Peoria,AZ,10651 West Olive Avenue,85345,+1-623-334-4121,,,,N/A,No website,,osm
Banfield Pet Hospital,Tempe,AZ,1900 East Rio Salado Parkway,85281,,,,,N/A,No website,,osm
Banfield Pet Hospital,Scottsdale,AZ,16257 North Scottsdale Road,85254,,,,,N/A,No website,,osm
South Point Animal Clinic,Phoenix,,,,,,,,N/A,No website,,osm
VCA Elliot Park Animal Hospital,Tempe,AZ,1700 East Elliot Road,85284,+1-480-838-8700,,,,N/A,No website,,osm
Topaz Veterinary Clinic,Phoenix,,,,,,,,N/A,No website,,osm
Family VetCare of Chandler,Phoenix,,,,,,,,N/A,No website,,osm
Dobbins Village Veterinary Hospital,Phoenix,AZ,3536 West Baseline Road,85339,,,,,N/A,No website,,osm
Spay & Neuter Clinic,Glendale,AZ,5156 North 95th Avenue,85305,,,,,N/A,No website,,osm
Ahwatukee Commons Veterinary Hospital,Phoenix,AZ,4902 East Warner Road,85044,,,,,N/A,No website,,osm
Phoenix Veterinary Center,Phoenix,,,,,,,,N/A,No website,,osm
Western Animal Hospital,Phoenix,,,,,,,,N/A,No website,,osm
Family VetCare of Phoenix,Phoenix,AZ,3908 East Chandler Boulevard,85048,,,,,N/A,No website,,osm
Banfield Pet Hospital,Peoria,AZ,9960 North 91st Avenue,85345,,,,,N/A,No website,,osm
Dr. Kelly's Surgical Unit - Peoria,Peoria,AZ,8914 North 91st Avenue,85345,,,,,N/A,No website,,osm
Camelwest Animal Hospital,Phoenix,AZ,10045 West Camelback Road,85037,,,,,N/A,No website,,osm
VCA Tri City Animal Hospital,Phoenix,,,,,,,,N/A,No website,,osm
BluePearl,Phoenix,AZ,East Indian School Road,85016,,,,,N/A,No website,,osm
