name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Next Level,Seattle,,,,,,,,N/A,No website,,osm
Eastlake Fitness,Seattle,,2228 Eastlake Avenue East,,,,,,N/A,No website,,osm
Club Pilates,Seattle,WA,1827 15th Avenue West,98119,+1 206-206-1410,,,,N/A,No website,,osm
Inspire,Seattle,,2215 Queen Anne Avenue North,98109,,,,,N/A,No website,,osm
Pulse Fitness,Seattle,WA,1366 31st Avenue South,98144,,,,,N/A,No website,,osm
Orangetheory Fitness,Seattle,WA,519 Broadway East,98102,+1-206-467-1690,,,,N/A,No website,,osm
Fit 321 Go,Seattle,WA,229 Broadway East,98102,,,,,N/A,No website,,osm
Tribe Fitness,Seattle,,606 Broadway East,98102,,,,,N/A,No website,,osm
Tumbles,Seattle,,5680 24th Avenue Northwest,98107,,,,,N/A,No website,,osm
Experience Momentum,Seattle,,1100 North 35th Street,98103,,,,,N/A,No website,,osm
CorePower Yoga,Seattle,,501 Broadway East,98102,,,,,N/A,No website,,osm
The Rep Room,Seattle,,1533 Minor Avenue,98101,,,,,N/A,No website,,osm
Be Here Now,Seattle,,601 East Pine Street,98122,,,,,N/A,No website,,osm
Urban Fit,Seattle,,1617 Lower Boylston Avenue,98122,,,,,N/A,No website,,osm
Tulinda,Seattle,,618 West McGraw Street,98119,,,,,N/A,No website,,osm
Tony Moses Fitness,Seattle,,2311 24th Avenue East,98112,,,,,N/A,No website,,osm
Seattle Bouldering Project,Seattle,,4502 University Way Northeast,98105,,,,,N/A,No website,,osm
Transform 180 Training,Seattle,WA,2517 6th Avenue,98121,,,,,N/A,No website,,osm
Demco Fitness,Seattle,WA,2521 4th Avenue,98121,,,,,N/A,No website,,osm
1 on 1 Fitness,Seattle,,4202 East Madison Street,98112,,,,,N/A,No website,,osm
Leitz Pilates,Seattle,,4227 East Madison Street,98112,+1-206-778-7879,,,,N/A,No website,,osm
Seattle Movement Project,Seattle,,1104 33rd Avenue,98122,,,,,N/A,No website,,osm
Columbia City Fitness,Seattle,WA,4860 Rainier Avenue South,,,,,,N/A,No website,,osm
The Athletic Form,Seattle,WA,2946 1st Avenue South,98134,,,,,N/A,No website,,osm
Yoga on Beacon,Seattle,WA,3063 Beacon Avenue South,98144,,,,,N/A,No website,,osm
Arcaro Boxing,Seattle,WA,1208 East Jefferson Street,98122,,,,,N/A,No website,,osm
Emerald City Aikido,Seattle,,604 19th Avenue East,98112,,,,,N/A,No website,,osm
Flex,Seattle,,1920 East Madison Street,98122,,,,,N/A,No website,,osm
Limber Yoga,Seattle,,6019 California Avenue Southwest,98136,,,,,N/A,No website,,osm
CycleBar,Seattle,WA,1288 Harrison Street,98109,,,,,N/A,No website,,osm
Community Fitness,Seattle,,6110 Roosevelt Way Northeast,98115,,,,,N/A,No website,,osm
Shefayoga,Seattle,,6521 Roosevelt Way Northeast,98115,,,,,N/A,No website,,osm
