name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
The View,Los Angeles,,,,,,,,N/A,No website,,osm
Floral Inn,Los Angeles,,1560 Monterey Pass Road,91754,,,,,N/A,No website,,osm
Proper,Los Angeles,,,,,,,,N/A,No website,,osm
Rodeway Inn,Los Angeles,,7721 Beverly Boulevard,90036,,,,,N/A,No website,,osm
Tradewinds Airport Hotel,Inglewood,CA,4210 West Century Boulevard,90304,,,,,N/A,No website,,osm
Venice Admiral Suites,Los Angeles,,,,,,,,N/A,No website,,osm
Koryu,Los Angeles,,,,,,,,N/A,No website,,osm
Ray W. Suites,Los Angeles,,,,,,,,N/A,No website,,osm
Jolly Roger Hotel,Los Angeles,,,,,,,,N/A,No website,,osm
Knights Inn,Los Angeles,CA,1255 West Temple Street,90026,,,,,N/A,No website,,osm
Lawrence Motel,Los Angeles,,,,,,,,N/A,No website,,osm
Maison Los Angeles 1st unit,Los Angeles,,,,,,,,N/A,No website,,osm
LA Comfortable house (korean),Los Angeles,,,,,,,,N/A,No website,,osm
LA Pyunanhan House,Los Angeles,,,,,,,,N/A,No website,,osm
guest home2,Los Angeles,,,,,,,,N/A,No website,,osm
Kent Orange House,Los Angeles,,,,,,,,N/A,No website,,osm
Nina Home LA,Los Angeles,,6516 West 87th Place,,,,,,N/A,No website,,osm
Open Air Homes,Los Angeles,,505 Seville Court,90291,,,,,N/A,No website,,osm
Freehand Los Angeles,Los Angeles,CA,416 West 8th Street,90014,,,,,N/A,No website,,osm
Courtyard,Los Angeles,CA,901 West Olympic Boulevard,,,,,,N/A,No website,,osm
Tuck Hotel,Los Angeles,CA,820 South Spring Street,90014,,,,,N/A,No website,,osm
Royal Santa Monica Motel,Los Angeles,CA,10811 Santa Monica Boulevard,90025,,,,,N/A,No website,,osm
Sea Way Motel,Los Angeles,,,,,,,,N/A,No website,,osm
Jasmine Hotel,Los Angeles,,,,,,,,N/A,No website,,osm
Park Cienega,Los Angeles,,,,,,,,N/A,No website,,osm
Anne's Motel,Los Angeles,,,,,,,,N/A,No website,,osm
La Cienega Inn,Los Angeles,,,,,,,,N/A,No website,,osm
Monterey Motel,Los Angeles,,840 West 132nd Street,,,,,,N/A,No website,,osm
Ocean Luxury Lofts & Suites,Los Angeles,CA,107 Broadway,90401,,,,,N/A,No website,,osm
InterContinental Los Angeles Downtown,Los Angeles,CA,900 Wilshire Boulevard,90017,,,,,N/A,No website,,osm
Trylon hotel,Los Angeles,,,,,,,,N/A,No website,,osm
West End Hotel,Los Angeles,,,,,,,,N/A,No website,,osm
Hotel Brooks,Los Angeles,,,,,,,,N/A,No website,,osm
Rose Bowl Motel,Los Angeles,,,,,,,,N/A,No website,,osm
City Motel,Los Angeles,,,,,,,,N/A,No website,,osm
Boulevard Motel,Los Angeles,,,,,,,,N/A,No website,,osm
New Bay Motel,Los Angeles,,,,,,,,N/A,No website,,osm
108 Motel,Los Angeles,,,,,,,,N/A,No website,,osm
Tuscan Garden Inn,Los Angeles,,2200 West Olympic Boulevard,,,,,,N/A,No website,,osm
Moxy,Los Angeles,,,,,,,,N/A,No website,,osm
AC Hotel,Los Angeles,,,,,,,,N/A,No website,,osm
Hotel Lynwood,Los Angeles,,,,,,,,N/A,No website,,osm
EC Motel,Los Angeles,,,,,,,,N/A,No website,,osm
