name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Deutch Fine Jewelry,Houston,TX,3747 Westheimer Road,77027,,,,,N/A,No website,,osm
Men's Wearhouse,Houston,,,,,,,,N/A,No website,,osm
Zales,Pasadena,TX,5608 Fairmont Parkway,,,,,,N/A,No website,,osm
Express,Houston,TX,112,,,,,,N/A,No website,,osm
Old Navy,Houston,TX,260,,,,,,N/A,No website,,osm
The Children's Place,Houston,TX,565,,,,,,N/A,No website,,osm
Elaine's Florist,Houston,TX,4782 Beechnut Street,,,,,,N/A,No website,,osm
J. McLaughlin,Houston,TX,1963 West Gray Street,,,,,,N/A,No website,,osm
J.Jill,Houston,TX,1992 West Gray Street,77019,,,,,N/A,No website,,osm
JoS. A. Bank,Houston,TX,1984 West Gray Street,77019,,,,,N/A,No website,,osm
Hallmark,Houston,TX,4950 Beechnut Street,,,,,,N/A,No website,,osm
Fallas Pardes,Houston,,,,,,,,N/A,No website,,osm
Everything But Water,Houston,TX,700 West Sam Houston Parkway North,,,,,,N/A,No website,,osm
Ann Taylor,Houston,TX,1987 West Gray Street,77019,,,,,N/A,No website,,osm
The T-Shirt Spot,Houston,,,,,,,,N/A,No website,,osm
City G.E.A.R.,Houston,,,,,,,,N/A,No website,,osm
Johnson Florist,Houston,TX,5632 Lawndale Street,,,,,,N/A,No website,,osm
Fallas Discount Store,Houston,,,,,,,,N/A,No website,,osm
Juniors Missy Plus,Houston,,,,,,,,N/A,No website,,osm
Melrose Family Fashions,Houston,,,,,,,,N/A,No website,,osm
Blanca Flor,Houston,,,,,,,,N/A,No website,,osm
Tuxedo Renta by Ascot,Houston,,,,,,,,N/A,No website,,osm
Houston Precious Metals,Houston,,,,,,,,N/A,No website,,osm
Al's Formal Wear,Houston,,,,,,,,N/A,No website,,osm
Icing,Houston,,,,,,,,N/A,No website,,osm
Oscar's Jewelry,Houston,TX,5601 Lawndale Street,,,,,,N/A,No website,,osm
Children's & Bridal Etc.,Houston,,,,,,,,N/A,No website,,osm
Fallas Paredes,Houston,,,,,,,,N/A,No website,,osm
Melrose,Houston,,,,,,,,N/A,No website,,osm
ClothesMax,Houston,,,,,,,,N/A,No website,,osm
Edible Arrangements,Houston,,,,,,,,N/A,No website,,osm
ToDo Jewelry,Houston,,,,,,,,N/A,No website,,osm
Manready Mercantile,Houston,TX,321 West 19th Street,,,,,,N/A,No website,,osm
MFAH Gift Shop,Houston,TX,5601 Main Street,77005,,,,,N/A,No website,,osm
Collector's Shop,Houston,TX,5555 Hermann Park Drive,77030,,,,,N/A,No website,,osm
Houston Museum of Natural Science Store,Houston,TX,5555 Hermann Park Drive,77030,+1 713-639-4665,,,,N/A,No website,,osm
Sketch Florist,Houston,,,,,,,,N/A,No website,,osm
Dong Tin Jewelry,Houston,,11209 Suite C30 Bellaire Boulevard,77072,+1-832-351-3838,,,,N/A,No website,,osm
rue21,Houston,,,,,,,,N/A,No website,,osm
Edward Jones,Houston,,,,,,,,N/A,No website,,osm
Beauty Brands,Houston,,,,,,,,N/A,No website,,osm
The Walk-in Closet,Houston,,,,,,,,N/A,No website,,osm
Urban Outfitters,Houston,TX,799 Town and Country Boulevard,77024,,,,,N/A,No website,,osm
Ann's Fine Gifts,Houston,TX,14054 Memorial Drive,77079,,,,,N/A,No website,,osm
Destination XL,Houston,TX,5393 Westheimer Road,,,,,,N/A,No website,,osm
Deville Fine Jewelry,Houston,,,,,,,,N/A,No website,,osm
Monkee's,Houston,,5885 San Felipe Street,,,,,,N/A,No website,,osm
Houston Zoo Gift Shop,Houston,TX,6200 Hermann Park Drive,77030,,,,,N/A,No website,,osm
Fashion Ropa Colombiana,Houston,TX,5406f1 Airline Drive,,,,,,N/A,No website,,osm
David's Bridal,Houston,TX,4520 San Felipe Street,77027,,,,,N/A,No website,,osm
Coda,Houston,TX,355 West 19th Street,,,,,,N/A,No website,,osm
Tootsies,Houston,TX,2601 Westheimer Road,,,,,,N/A,No website,,osm
Ashley Stewart,Houston,TX,4400 North Freeway,77022,,,,,N/A,No website,,osm
Cottage Shop,Houston,,,,,,,,N/A,No website,,osm
Sakowitz Furs,Houston,,,,,,,,N/A,No website,,osm
Luxington,Houston,,,,,,,,N/A,No website,,osm
Pinto Ranch,Houston,,,,,,,,N/A,No website,,osm
Bill Walker Clothier,Houston,,,,,,,,N/A,No website,,osm
Eight One,Houston,,,,,,,,N/A,No website,,osm
City Gear,Houston,TX,7543 Westheimer Road,,,,,,N/A,No website,,osm
Lucho,Houston,,1121 Uptown Park Boulevard,,,,,,N/A,No website,,osm
High Gloss,Houston,,1131 Uptown Park Boulevard,,,,,,N/A,No website,,osm
Carrie Ann,Houston,,1151 Uptown Park Boulevard,,,,,,N/A,No website,,osm
Lewis Jewelers,Houston,,1141 Uptown Park Boulevard,,,,,,N/A,No website,,osm
Francesca's,Houston,,1141 Uptown Park Boulevard,,,,,,N/A,No website,,osm
Loft,Houston,,1141 Uptown Park Boulevard,,,,,,N/A,No website,,osm
Top Drawer Lingerie,Houston,,1101 Uptown Park Boulevard,,,,,,N/A,No website,,osm
Executive Baskets,Houston,,1101 Uptown Park Boulevard,,,,,,N/A,No website,,osm
M Penner,Houston,,1180 Uptown Park Boulevard,,,,,,N/A,No website,,osm
Elizabeth Anthony,Houston,,1180 Uptown Park Boulevard,,,,,,N/A,No website,,osm
Festari For Men,Houston,TX,1800 Post Oak Boulevard,,,,,,N/A,No website,,osm
Rally House,Houston,,,,,,,,N/A,No website,,osm
Swoon Apparel + Accessories,Houston,,,,,,,,N/A,No website,,osm
Rain Tree Boutique,Houston,,,,,,,,N/A,No website,,osm
Orvis,Houston,TX,5727 Westheimer Road,,,,,,N/A,No website,,osm
