name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Howard C Gentry Athletic Complex,Nashville,TN,,,,,,,N/A,No website,,osm
Baptist Health and Fitness Center,Nashville,TN,,,,,,,N/A,No website,,osm
Crievewood Baptist Church Christian Recreation Center,Nashville,TN,,,,,,,N/A,No website,,osm
Nashville Airsoft,Nashville,,406 Davidson,37213,,,,,N/A,No website,,osm
CrossFit Nashville,Nashville,TN,3 C1TY AVENUE,37209,,,,,N/A,No website,,osm
Green Hills Family YMCA,Nashville,,,,,,,,N/A,No website,,osm
Gazebo sports complex,Nashville,,,,,,,,N/A,No website,,osm
Gazebo sports comlex 2,Nashville,,,,,,,,N/A,No website,,osm
Crossfit,Nashville,,,,,,,,N/A,No website,,osm
Orangetheory Fitness,Nashville,TN,121 17th Avenue South,37203,+1 615-988-9288,,,,N/A,No website,,osm
Cross Fit Forte,Nashville,,,,,,,,N/A,No website,,osm
H Dub Athletics,Nashville,,,,,,,,N/A,No website,,osm
Urban Strength Gym,Nashville,,,,,,,,N/A,No website,,osm
Climb West,Nashville,,3600 Charlotte Avenue,37209,+1-615-463-7625,,,,N/A,No website,,osm
Climb Nashville East,Nashville,,1900 Eastland Avenue,37206,,,,,N/A,No website,,osm
Climb Nashville Kraft,Nashville,,2926 Kraft Drive,37204,,,,,N/A,No website,,osm
