name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Jason's Deli,Houston,,,,,,,,N/A,No website,,osm
Fuddruckers,Houston,,,,,,,,N/A,No website,,osm
Willi's Icehouse,Houston,,,,,,,,N/A,No website,,osm
Boston Market,Houston,,,,,,,,N/A,No website,,osm
Spring Creek Barbeque,Houston,,,,,,,,N/A,No website,,osm
CENAS,Houston,,,,,,,,N/A,No website,,osm
The Concert Pub,Houston,,,,,,,,N/A,No website,,osm
Ron's Pub and White Horse Inn,Houston,,,,,,,,N/A,No website,,osm
Fountain View Cafe,Houston,,,,,,,,N/A,No website,,osm
Taco Cabana,Houston,,,,,,,,N/A,No website,,osm
The Leaf Pub,Houston,,,,,,,,N/A,No website,,osm
Leon's Lounge,Houston,TX,1006 McGowen Street,77002,+1-713-650-1006,,,,N/A,No website,,osm
Nouveau Antique Art Bar,Houston,,,,,,,,N/A,No website,,osm
Gen Korean BBQ House,Houston,,,,,,,,N/A,No website,,osm
Backstreet Cafe,Houston,,,,,,,,N/A,No website,,osm
Cafe Express,Houston,TX,1422 West Gray Street,,,,,,N/A,No website,,osm
La Madeleine,Houston,TX,2047 West Gray Street,77019,,,,,N/A,No website,,osm
Carrabba's Italian Grill,Houston,,,,,,,,N/A,No website,,osm
Five Star Hamburgers,Houston,,,,,,,,N/A,No website,,osm
Las Haciendas,Houston,,,,,,,,N/A,No website,,osm
Vine Wine Room,Houston,,,,,,,,N/A,No website,,osm
Z Pizza,Houston,,,,,,,,N/A,No website,,osm
Burger Guys,Houston,,12225 Westheimer Road,77077,,,,,N/A,No website,,osm
Burlap Barrel,Houston,,,,,,,,N/A,No website,,osm
Chinois Orient Bistro,Houston,,6340 North Eldridge Parkway,77041,,,,,N/A,No website,,osm
Pei Wei,Houston,,,,,,,,N/A,No website,,osm
Souper! Salad!,Houston,,,,,,,,N/A,No website,,osm
Which Wich?,Pasadena,TX,5716 Fairmont Parkway,,,,,,N/A,No website,,osm
Freebirds,Pasadena,TX,5718 Fairmont Parkway,,,,,,N/A,No website,,osm
Tutti Frutti,Houston,,,,,,,,N/A,No website,,osm
Texas Medical Center Commons,Houston,,,,,,,,N/A,No website,,osm
Salata,Houston,,,,,,,,N/A,No website,,osm
Go Fish,Houston,TX,1709 Dryden Road,77030,,,,,N/A,No website,,osm
JuiceLand,Houston,,,,,,,,N/A,No website,,osm
Becks Prime,Houston,TX,708 Meyerland Plaza,77096,+1-713-667-4076,,,,N/A,No website,,osm
Tobin's Sports Bar,Houston,,,,,,,,N/A,No website,,osm
ReBar,Houston,TX,202 Tuam Street,77006,,,,,N/A,No website,,osm
Best Donuts,Houston,,,,,,,,N/A,No website,,osm
Lemongrass Cafe,Bellaire,TX,5109 Bellaire Boulevard,77401,,,,,N/A,No website,,osm
Auntie Pasto's,Houston,,,,,,,,N/A,No website,,osm
Yoshi,Houston,,4050 Bellaire Boulevard,,,,,,N/A,No website,,osm
The Grotto,Houston,TX,4715 Westheimer Road,,,,,,N/A,No website,,osm
Escalante's Mexican Grille,Houston,TX,590,,,,,,N/A,No website,,osm
Café Express,Houston,TX,210,,,,,,N/A,No website,,osm
Jax Grill,Houston,,,,,,,,N/A,No website,,osm
Luigi's Pizzeria,Houston,,,,,,,,N/A,No website,,osm
JJ Garden Restaurant,Houston,,,,,,,,N/A,No website,,osm
Schlotzsky's,Houston,TX,4001 Richmond Avenue,77027,+1-713-661-6852,,,,N/A,No website,,osm
Thai Cottage,Houston,TX,3995 Richmond Avenue,,,,,,N/A,No website,,osm
Postino Uptown Park,Houston,TX,1151 Uptown Park Boulevard,77056,,,,,N/A,No website,,osm
Kolache Factory,Houston,,,,,,,,N/A,No website,,osm
La Madeline,Houston,TX,620,,,,,,N/A,No website,,osm
Boudreaux Cajun Restaurant,Houston,,,,,,,,N/A,No website,,osm
Guadalajara,Houston,,,,,,,,N/A,No website,,osm
Gugliani's,Houston,TX,4990 Beechnut Street,,,,,,N/A,No website,,osm
Coaches Sports Bar & Grill,Jersey Village,TX,17460 Northwest Freeway,77040,,,,,N/A,No website,,osm
Cherry de Pön,Houston,TX,4001 Bellaire Boulevard,,,,,,N/A,No website,,osm
Snooze - An A.M. Eatery,Houston,,3191 West Holcombe Boulevard,,,,,,N/A,No website,,osm
Freds Italian,Houston,,,,,,,,N/A,No website,,osm
Perry's Steakhouse and Grille,Houston,TX,1997 West Gray Street,,,,,,N/A,No website,,osm
Pepper Tree Veggie Cuisine,Houston,TX,3821 Richmond Avenue,,,,,,N/A,No website,,osm
Corner Bakery,Houston,,,,,,,,N/A,No website,,osm
Duck and Bao,Houston,,,,,,,,N/A,No website,,osm
Armando's,Houston,TX,2630 Westheimer Road,,,,,,N/A,No website,,osm
Chuck E. Cheese's,Houston,,,,,,,,N/A,No website,,osm
Skeeter's,Houston,,,,,,,,N/A,No website,,osm
Hibachi Grill & Buffet,Houston,,,,,,,,N/A,No website,,osm
The Egg and I,Houston,TX,4938 Beechnut Street,,,,,,N/A,No website,,osm
D Wok Express,Houston,,,,,,,,N/A,No website,,osm
Cicis,Houston,,5901 Bellaire Boulevard,,,,,,N/A,No website,,osm
Pho VN 21,Houston,,,,,,,,N/A,No website,,osm
Tacos La Bala,Houston,,,,,,,,N/A,No website,,osm
Chinese Buffet,Houston,,,,,,,,N/A,No website,,osm
Honduras Maya Internacional Bar & Grill,Houston,,5941 Bellaire Boulevard,,,,,,N/A,No website,,osm
CRU,Houston,TX,311 Travis Street,77002,,,,,N/A,No website,,osm
