name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Banana Republic,Denver,CO,500 16th Street,80202,,,,,N/A,No website,,osm
Tipton Jeweler,Denver,,,,,,,,N/A,No website,,osm
Wish Boutique,Denver,CO,1099 South Gaylord Street,80209,+1-303-733-4848,,,,N/A,No website,,osm
Trout's,Denver,,,,,,,,N/A,No website,,osm
Silk Road,Denver,,1065 South Gaylord Street,,+1-303-698-0582,,,,N/A,No website,,osm
Seal Harbor Shop,Denver,,,,,,,,N/A,No website,,osm
Pome,Denver,,1071 South Gaylord Street,,,,,,N/A,No website,,osm
DXL Men's Apparel,Denver,,,,,,,,N/A,No website,,osm
Express,Denver,CO,500 16th Street,80202,,,,,N/A,No website,,osm
John Atencio,Denver,CO,1440 Larimer Street,80202,,,,,N/A,No website,,osm
Cotopaxi,Denver,CO,1410 Larimer Street,80202,,,,,N/A,No website,,osm
Overland Sheepskin Company,Denver,CO,1512 Larimer Street,80202,,,,,N/A,No website,,osm
Garnet Gecko,Denver,CO,3631 West 32nd Avenue,80211,,,,,N/A,No website,,osm
Babareeba Then and Now,Denver,CO,3629 West 32nd Avenue,80211,,,,,N/A,No website,,osm
Dragon Fly,Denver,CO,3615 West 32nd Avenue,80211,,,,,N/A,No website,,osm
Hello Darkings,Denver,,3480 West 32nd Avenue,80211,,,,,N/A,No website,,osm
Starlet,Denver,CO,3450 West 32nd Avenue,80211,,,,,N/A,No website,,osm
Kismet Charm Bar,Denver,CO,3640 West 32nd Avenue,80211,,,,,N/A,No website,,osm
Trout's Fly Fishing,Denver,CO,1303 East 6th Avenue,80218,,,,,N/A,No website,,osm
Sarah O. Jewelry,Denver,CO,4301 Tennyson Street,80212,,,,,N/A,No website,,osm
Sonthshagen,Denver,,,,,,,,N/A,No website,,osm
Yacovetta Jewelers,Denver,CO,6740 East Hampden Avenue,80224,+1-303-788-1714,,,,N/A,No website,,osm
Shred 4/15,Denver,CO,6305 East Hampden Avenue,80222,,,,,N/A,No website,,osm
Yahweh's Consignment Store,Denver,,2230 Oneida Street,80207,+1-720-328-8562,,,,N/A,No website,,osm
Dulceria El Pachanjon (House of Flowers),Aurora,CO,9529 East Colfax Avenue,80010,+1-303-344-4310,,,,N/A,No website,,osm
New Trends,Aurora,CO,9040 East Colfax Avenue,80010,+1-303-364-1114,,,,N/A,No website,,osm
Jewelius,Denver,CO,2405 West 32nd Avenue,80211,,,,,N/A,No website,,osm
VaVaBloom,Denver,CO,3209 Zuni Street,80211,,,,,N/A,No website,,osm
Blue Ruby,Denver,CO,1428 Larimer Street,80202,,,,,N/A,No website,,osm
Diamond Dry Goods,Denver,CO,2001 Blake Street,80205,,,,,N/A,No website,,osm
El Guapo Tuxedo,Denver,CO,2936 West 38th Avenue,80211,,,,,N/A,No website,,osm
La Guapa Boutique,Denver,CO,2930 West 38th Avenue,80211,,,,,N/A,No website,,osm
Amanda's Fashion,Denver,CO,2918 West 38th Avenue,80211,,,,,N/A,No website,,osm
Sportsfan,Denver,CO,1720 Federal Boulevard,80204,,,,,N/A,No website,,osm
Little White Dress Bridal Shop,Denver,CO,3420 West 32nd Avenue,80211,,,,,N/A,No website,,osm
Oyo Mountain Products,Denver,CO,2500 Larimer Street,80205,,,,,N/A,No website,,osm
Favor,Denver,CO,1118 Broadway,80203,,,,,N/A,No website,,osm
The Flower Gallery,Denver,CO,300 West 11th Avenue,80204,,,,,N/A,No website,,osm
