name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Yoshinoya,Los Angeles,,,,,,,,N/A,No website,,osm
Big Wang's,Los Angeles,,,,,,,,N/A,No website,,osm
Jerry's Famous Deli,Los Angeles,,,,,,,,N/A,No website,,osm
Jamba,Los Angeles,,,,,,,,N/A,No website,,osm
Tofu Village,Los Angeles,,,,,,,,N/A,No website,,osm
Danny's Bistro and Cafe,Los Angeles,,,,,,,,N/A,No website,,osm
17th Street Cafe,Los Angeles,,,,,,,,N/A,No website,,osm
Via Dolce,Los Angeles,,,,,,,,N/A,No website,,osm
Pradeep's,Los Angeles,,,,,,,,N/A,No website,,osm
Louise's Trattoria,Los Angeles,,,,,,,,N/A,No website,,osm
Rosti,Los Angeles,,,,,,,,N/A,No website,,osm
Natalee Thai,Los Angeles,,,,,,,,N/A,No website,,osm
Mario's Peruvian Restaurant,Los Angeles,,,,,,,,N/A,No website,,osm
Barbara's,Los Angeles,,,,,,,,N/A,No website,,osm
Casey's Irish,Los Angeles,,,,,,,,N/A,No website,,osm
Sweetfin,Los Angeles,,,,,,,,N/A,No website,,osm
Lili Ya,Los Angeles,,,,,,,,N/A,No website,,osm
The Edison,Los Angeles,,,,,,,,N/A,No website,,osm
Great Thai,Los Angeles,,,,,,,,N/A,No website,,osm
Yard House,Los Angeles,CA,800 West Olympic Boulevard,90015,,,,,N/A,No website,,osm
Drago Centro,Los Angeles,,,,,,,,N/A,No website,,osm
Corner Bakery,Los Angeles,,,,,,,,N/A,No website,,osm
Ciudad,Los Angeles,,,,,,,,N/A,No website,,osm
Wolfgang Puck,Los Angeles,,,,,,,,N/A,No website,,osm
Library Bar,Los Angeles,,,,,,,,N/A,No website,,osm
Cafe Pinot,Los Angeles,,,,,,,,N/A,No website,,osm
Daily Grill,Los Angeles,,,,,,,,N/A,No website,,osm
The Counter,Los Angeles,,West 7th Street,,,,,,N/A,No website,,osm
Ronnies's Diner,Los Angeles,,12740 Culver Boulevard,,,,,,N/A,No website,,osm
Original Pantry Cafe,Los Angeles,,,,,,,,N/A,No website,,osm
Fromin's Deli,Los Angeles,,,,,,,,N/A,No website,,osm
Zekes Smokehouse,West Hollywood,,"7100,suit 195 Santa Monica Boulevard",90046,,,,,N/A,No website,,osm
Quiadaiyn,Los Angeles,,,,,,,,N/A,No website,,osm
PI^LA,Los Angeles,,,,,,,,N/A,No website,,osm
